,Number,Score,Rank
0,0,"0,0014",79.0
1,1,"0,00735",67.0
2,2,"0,98421",2.0
3,3,"0,00996",58.0
4,4,"0,01144",48.5
5,5,"0,01569",21.0
6,6,"0,01787",15.0
7,7,"0,00798",65.0
8,8,"0,00833",64.0
9,9,"0,01064",55.0
10,10,"0,13181",5.0
11,11,"0,04097",7.0
12,12,"0,01452",26.0
13,13,"0,01182",45.0
14,14,"0,00419",76.0
15,15,"0,01331",33.0
16,16,"0,01338",32.0
17,17,"0,01278",36.0
18,18,"0,01056",56.0
19,19,"0,00554",73.0
20,20,"0,0247",9.0
21,21,"0,01427",28.0
22,22,"0,01143",50.5
23,23,"0,01219",39.0
24,24,"0,0068",70.0
25,25,"0,01281",35.0
26,26,"0,00857",62.5
27,27,"0,01718",16.0
28,28,"0,01385",31.0
29,29,"0,01277",37.5
30,30,"0,00168",78.0
31,31,"0,01277",37.5
32,32,"0,0222",10.0
33,33,"0,00919",61.0
34,34,"0,01108",53.0
35,35,"0,01515",24.0
36,36,"0,00375",77.0
37,37,"0,0119",42.0
38,38,"0,00857",62.5
39,39,"0,01309",34.0
40,40,"0,01144",48.5
41,41,"0,00954",59.0
42,42,"0,01386",30.0
43,43,"0,01007",57.0
44,44,"0,00721",68.0
45,45,"0,0111",52.0
46,46,"0,01155",47.0
47,47,"0,00064",80.0
48,48,"0,00648",71.0
49,49,"0,01183",44.0
50,50,"0,0146",25.0
51,51,"0,02076",12.0
52,52,"0,0159",20.0
53,53,"0,00518",75.0
54,54,"0,03118",8.0
55,55,"0,01164",46.0
56,56,"0,01193",41.0
57,57,"0,01185",43.0
58,58,"0,0162",19.0
59,59,"0,01559",22.0
60,60,"0,01549",23.0
61,61,"0,01422",29.0
62,62,"0,88514",3.0
63,63,"0,01084",54.0
64,64,"0,01213",40.0
65,65,"0,0055",74.0
66,66,"0,02159",11.0
67,67,"0,01854",14.0
68,68,"0,00594",72.0
69,69,"0,13499",4.0
70,70,"0,01143",50.5
71,71,"0,04423",6.0
72,72,"0,01628",18.0
73,73,"0,00758",66.0
74,74,"0,00692",69.0
75,75,"1,06911",1.0
76,76,"0,01927",13.0
77,77,"0,0164",17.0
78,78,"0,01437",27.0
79,79,"0,0092",60.0
