idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
uj0002,6.32294837692473e-05,4.819086185247707e-05,6.483203079712865e-05,4.205419240272812e-05,6.73373424501829e-05,6.438387218943931e-05,5.944026411754508e-05,0.0285182832105251,0.209722093945624,0.0396863409483438,0.0389357225062729,8.426358094537356e-05,0.0026443226700603,4.9756053449084144e-05,6.219199545613942e-05,0.6423117193973604,8.16943279861112e-05,5.746746682660878e-05,5.2518878305325e-05,8.437432970754988e-05,4.98058907774478e-05,8.679057699949255e-05,7.124099068329323e-05,6.229512403290551e-05,5.3728692331332114e-05,3.70945729618166e-05,4.639284083701773e-05,4.965477664802169e-05,4.9507579178721535e-05,4.995125763341888e-05,2.001563276717065e-05,4.096215071308208e-05,0.0026616983730394,7.358395758113323e-05,1.0063998343054285e-05,8.122051012273656e-05,0.0001064401335247,4.296523490685948e-05,0.0336783880495501,2.798229892665597e-05
uj0003,0.010005962111287,9.201761133291532e-05,0.0001237929429458,8.03000025872118e-05,0.0001285766879359,0.0001229372104896,0.0001134976821505,8.522125562437796e-05,0.0001002016316009,0.0807213443160751,0.3461892693385813,0.0001608963430595,0.0001065637679651,0.0050376208212015,0.0001187519510113,0.5542608022505232,0.0001559905059125,0.0001097307419594,0.0001002817037457,0.0001611078112956,9.510141390868796e-05,0.0001657214931359,0.0001360304742366,0.0001189488689524,0.0001025917723469,7.082990148235871e-05,8.85843961421302e-05,9.48128703820955e-05,9.453180548724648e-05,9.537898335524368e-05,3.8218671460784495e-05,7.821481332322224e-05,0.0001397416490384,0.000140504231482,1.921661187179353e-05,0.0001550857786194,0.0002032411635817,8.203958457081597e-05,5.290827823535347e-05,5.343055110150788e-05
uj0006,8.053138069520674e-05,6.137764236752277e-05,8.257244314093642e-05,5.35617559455821e-05,8.576329959689845e-05,8.20016519641592e-05,7.570529210301415e-05,5.684433310162726e-05,6.683655248116394e-05,0.0010935877560274,0.0001375726834411,0.0001073211753652,7.108022849923755e-05,6.337112757115507e-05,0.2901998749117274,0.6532303865874782,0.0001040488809255,0.0066668441407141,6.688996225125608e-05,0.000107462229035,6.34346022134269e-05,0.0001105396498666,9.073512861116088e-05,7.934134599702358e-05,6.843082559681713e-05,4.7245003419861656e-05,5.908761710933202e-05,6.324213773704985e-05,6.305466166210921e-05,0.0462191800739881,2.549264118794596e-05,5.21708917505672e-05,9.321055865596628e-05,9.371921685541744e-05,1.2817875990229398e-05,0.0001034454091832,0.0001355660429779,5.472209296489841e-05,3.5290911519774505e-05,3.5639278280579775e-05
uj0007,8.745082373007524e-05,6.665135177508894e-05,8.96672589957158e-05,5.816390626156499e-05,9.313228124008068e-05,8.904742411698761e-05,8.221006641114998e-05,6.172853006132512e-05,0.2112982818050819,0.0477288078360439,0.0001493932475244,0.0001165424597014,7.71876066139553e-05,6.881612185162803e-05,8.601590441422692e-05,0.7165176499815136,0.0001129890021328,7.948154898762564e-05,7.263730296994835e-05,0.0001166956330297,6.888505038240353e-05,0.0001200374729977,9.853130133620846e-05,0.003666255191049,7.431056086844125e-05,5.1304403706107554e-05,6.416456223463122e-05,6.867604891176376e-05,6.84724644575832e-05,6.908610296958132e-05,2.768302805311036e-05,5.665353578858041e-05,0.0001012194260726,0.0001017717893644,1.3919217628442238e-05,0.0001123336786985,0.0180476974546522,5.942394212916997e-05,3.832318850051921e-05,3.87014877415058e-05
uj0008,0.0001385359485553,0.0001055862923505,0.0001420471328854,9.21408350651966e-05,0.0001475362766454,0.0001410652163155,0.0001302337593321,9.778776345625296e-05,0.0001149771072619,0.2627675019438681,0.0002366625535447,0.0001846217052401,0.0001222773879407,0.0001090156308423,0.0001362628092063,0.5055475626230577,0.0001789924659269,0.0001259113557996,0.0001150689866398,0.0001848643560401,0.0001091248245466,0.0001901583595742,0.0001560891791612,0.000136488764162,0.0001177196920335,8.127429713444978e-05,0.000101646824051,0.0001087937331315,0.0001084712231279,0.000109443323672,4.385429875490312e-05,0.2269473417409596,0.0001603475942831,0.0001612226251784,2.2050244183588724e-05,0.0001779543298671,0.0002332105844169,9.413693134750462e-05,6.070999727767887e-05,6.130928316147564e-05
uj0009,0.0001805096929868,0.0001375769207528,0.0001850846990561,0.0001200577469069,0.0001922369484558,0.2366566918889913,0.0001696920991174,0.0001274155866649,0.0075395906796003,0.0246205911060646,0.000308366783693,0.0002405585530626,0.0001593250992727,0.0001420452832591,0.000177547835864,0.592210811686464,0.0002332237618349,0.000164060089933,0.1036068205813594,0.0002408747224169,0.0075319652670831,0.0002477727078321,0.0002033812169533,0.0001778422508524,0.0001533865086216,0.0001058988556865,0.0001324438688577,0.0001417561547833,0.0001413359304132,0.0001426025588414,5.714131304512896e-05,0.0001169401489388,0.0002089298504617,0.0002100699989929,2.873104670212302e-05,0.0002318710903919,0.0224732020534434,0.0001226586222093,7.910396603992938e-05,7.988482409174649e-05
uj0013,9.137646254211144e-05,6.96433091088537e-05,9.369239286030888e-05,6.077486494829844e-05,9.731295881743547e-05,9.304473379704812e-05,8.590044934498958e-05,6.449950354199393e-05,7.583736527942642e-05,0.0461305323571564,0.0001560994614366,0.0001217740125163,8.065253297379377e-05,7.190525500454603e-05,8.9877130168522e-05,0.651420935961911,0.0001180610414022,8.304944966869465e-05,7.589796769073585e-05,0.0001219340617452,7.197727771447421e-05,0.0038662319335985,0.0001029543391559,9.002616704135618e-05,7.76463375878206e-05,5.360744157157944e-05,6.704488840106108e-05,7.175889423632529e-05,7.154617094272881e-05,7.218735548638805e-05,2.892571010828925e-05,0.2955828720994219,0.0001057631329306,0.0001063402916296,1.4544046745250198e-05,0.0001173763007138,0.0001538225886755,6.209146341297734e-05,4.004350387048043e-05,4.0438784840393496e-05
uj0014,0.0001244228180151,0.0051885007360347,0.0306896015868258,8.275413329633274e-05,0.0867249112142696,0.0001266944206245,0.0001169664011817,8.782578979323413e-05,0.000103263996399,0.0220643015201091,0.0103998946906726,0.0001658136611637,0.0001098205725356,9.790983595628046e-05,0.0001223812511403,0.591574818421628,0.0001607578916978,0.0001130843356693,0.0051970173958488,0.0001660315922974,9.80079057248078e-05,0.0001707862775987,0.0001401878410292,0.0001225841872924,0.0001057271846869,7.299460672210113e-05,9.129171469651289e-05,9.771054372366098e-05,9.742088891639004e-05,9.829395825580632e-05,3.938671146416866e-05,0.0051742760965633,0.0001440124368491,0.0001447983253566,0.0662375253522439,0.0001598255141063,0.1733942625498541,8.454688042849787e-05,5.452526237234743e-05,5.5063496955040735e-05
uj0015,0.0002562569767413,0.0001953083249887,0.00026275179264,0.0001704375800971,0.0002729053405062,0.0002609354917142,0.0002408999958794,0.0106716331683672,0.0002126789920498,0.0034798793928747,0.0004377667393317,0.0003415041403986,0.000226182691816,0.0002016517464854,0.0002520522354929,0.7253219868550512,0.0003310914506757,0.2520109089025286,0.0002128489459994,0.0003419529839013,0.0002018537276236,0.0003517455709854,0.0002887260784729,0.000252470195845,0.0002177520903277,0.000150337193253,0.0001880212904904,0.0002012412910253,0.0002006447278997,0.0002024428716243,8.111952264547282e-05,0.0001660117444714,0.0002966030850999,0.0002982216741674,4.078745603448612e-05,0.0003291711577055,0.0004313814567987,0.0001741298607212,0.0001122983638729,0.0001134068933946
uj0016,0.0001495630397207,0.0001139906789643,0.0001533537049373,9.947499922201796e-05,0.0001592797698668,0.0001522936304333,0.0001406000184292,0.0001055714080174,0.0001241289776388,0.2224543797646091,0.1104671834692754,0.0001993170994395,0.0001320103411442,0.0001176929836326,0.006269980253952,0.6437537377893033,0.0001932397877252,0.0001359335631302,0.0001242281703696,0.0001995790645945,0.0001178108688639,0.0002052944566578,0.0062913847499547,0.0062702241943181,0.0001270898648267,8.774351392082423e-05,0.0001097376395193,0.0001174534234572,0.0001171052425195,0.0001181547196683,4.734498370282188e-05,9.68918834844083e-05,0.0001731108341408,0.0001740555151562,2.380538467505492e-05,0.0001921190188102,0.0002517735235092,0.0001016299794323,6.55423507687192e-05,6.618933820683248e-05
