,Number,Score,Rank
0,0,"0,01513",33.0
1,1,"0,0156",29.0
2,2,"0,01106",47.0
3,3,"0,02175",15.0
4,4,"0,01635",26.0
5,5,"1,741",1.0
6,6,"0,00912",54.0
7,7,"0,64177",3.0
8,8,"0,0111",46.0
9,9,"0,01095",49.0
10,10,"0,01331",38.0
11,11,"0,00174",60.0
12,12,"0,04742",4.0
13,13,"0,01522",32.0
14,14,"0,01069",51.0
15,15,"0,01082",50.0
16,16,"0,03393",6.0
17,17,"0,0256",8.0
18,18,"0,00966",53.0
19,19,"0,01884",20.0
20,20,"0,01243",40.0
21,21,"0,02451",10.0
22,22,"0,01098",48.0
23,23,"0,01468",34.0
24,24,"0,00745",57.0
25,25,"0,01123",45.0
26,26,"0,01242",41.0
27,27,"0,02342",11.0
28,28,"0,02849",7.0
29,29,"0,01407",36.0
30,30,"0,01548",31.0
31,31,"0,01894",19.0
32,32,"0,01778",23.0
33,33,"0,01666",25.0
34,34,"0,03875",5.0
35,35,"0,01437",35.0
36,36,"0,01984",17.0
37,37,"0,01195",43.0
38,38,"0,01377",37.0
39,39,"0,02244",13.0
40,40,"0,01552",30.0
41,41,"0,0169",24.0
42,42,"0,01845",22.0
43,43,"0,02338",12.0
44,44,"0,01617",27.0
45,45,"0,00991",52.0
46,46,"0,0204",16.0
47,47,"0,01608",28.0
48,48,"0,0129",39.0
49,49,"0,01135",44.0
50,50,"0,01225",42.0
51,51,"0,00814",56.0
52,52,"0,00873",55.0
53,53,"0,01855",21.0
54,54,"0,02242",14.0
55,55,"0,01976",18.0
56,56,"0,02536",9.0
57,57,"0,00628",58.0
58,58,"0,00224",59.0
59,59,"0,68177",2.0
