,Number,Score,Rank
0,0,"0,00807",77.0
1,1,"0,01224",33.0
2,2,"0,01123",39.0
3,3,"0,01185",36.0
4,4,"0,01235",31.0
5,5,"0,01864",8.0
6,6,"0,01101",41.0
7,7,"0,00829",72.0
8,8,"0,00893",67.0
9,9,"0,00982",53.0
10,10,"0,01164",38.0
11,11,"0,00756",80.0
12,12,"0,01227",32.0
13,13,"0,00885",69.5
14,14,"0,01674",9.0
15,15,"0,00614",85.0
16,16,"0,01068",46.0
17,17,"0,00954",61.0
18,18,"0,01009",51.0
19,19,"0,01002",52.0
20,20,"0,01013",50.0
21,21,"0,01454",16.0
22,22,"0,00164",97.5
23,23,"0,00774",78.0
24,24,"0,00885",69.5
25,25,"0,01081",43.0
26,26,"0,00249",96.0
27,27,"0,00963",58.0
28,28,"0,0098",54.5
29,29,"0,00735",83.0
30,30,"0,00757",79.0
31,31,"0,01499",15.0
32,32,"0,00834",71.0
33,33,"0,01317",23.0
34,34,"0,00738",82.0
35,35,"0,00827",73.5
36,36,"0,00822",75.0
37,37,"0,01255",29.0
38,38,"0,01331",21.0
39,39,"0,0156",12.0
40,40,"0,01575",11.0
41,41,"0,00914",64.0
42,42,"0,00739",81.0
43,43,"0,00164",97.5
44,44,"0,00923",63.0
45,45,"0,0098",54.5
46,46,"0,01077",44.0
47,47,"0,01018",49.0
48,48,"0,00931",62.0
49,49,"0,01067",47.0
50,50,"0,01244",30.0
51,51,"0,01279",26.0
52,52,"0,0141",18.0
53,53,"0,01175",37.0
54,54,"0,00657",84.0
55,55,"0,0044",91.0
56,56,"0,00594",86.0
57,57,"0,01187",35.0
58,58,"0,0139",20.0
59,59,"0,00973",56.0
60,60,"0,01033",48.0
61,61,"0,00827",73.5
62,62,"0,01319",22.0
63,63,"0,00295",95.0
64,64,"0,00808",76.0
65,65,"0,01259",28.0
66,66,"0,00507",87.0
67,67,"0,00955",60.0
68,68,"0,00962",59.0
69,69,"0,00308",94.0
70,70,"0,0201",7.0
71,71,"0,33738",4.0
72,72,"0,00964",57.0
73,73,"0,00496",89.0
74,74,"0,00499",88.0
75,75,"0,00469",90.0
76,76,"1,77272",1.0
77,77,"0,01271",27.0
78,78,"0,0457",5.0
79,79,"0,00904",65.0
80,80,"0,03027",6.0
81,81,"0,01501",14.0
82,82,"0,0145",17.0
83,83,"0,0128",25.0
84,84,"0,00894",66.0
85,85,"0,01074",45.0
86,86,"0,01394",19.0
87,87,"0,004",92.0
88,88,"0,00156",99.0
89,89,"0,00092",100.0
90,90,"0,01216",34.0
91,91,"0,00888",68.0
92,92,"0,01538",13.0
93,93,"0,91987",2.0
94,94,"0,01309",24.0
95,95,"0,01097",42.0
96,96,"0,0036",93.0
97,97,"0,01112",40.0
98,98,"0,41229",3.0
99,99,"0,01628",10.0
