idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens
uj0704,0027_060028.xml,letters-leipzig,Brief,"Menzhausen, Joachim","Johnson, Uwe",1956-10-17,1956,10,MenzhausenJoachim,JohnsonUwe,311
uj0705,0032_100107.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred + Baumgärtner, Klaus",1956-12-01,1956,12,JohnsonUwe,BierwischManfred+BaumgärtnerKlaus,593
uj0706,0025_060026.xml,letters-leipzig,Brief + Postkarte,"Baumgärtner, Klaus","Johnson, Uwe",1956-06-21,1956,6,BaumgärtnerKlaus,JohnsonUwe,80
uj0707,0029_060030.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1956-11-01,1956,11,BaumgärtnerKlaus,JohnsonUwe,85
uj0708,0033_060034.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumann, Sabine","Johnson, Uwe",1956-12-31,1956,12,BaumgärtnerKlaus+BaumannSabine,JohnsonUwe,83
uj0709,0026_060027.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1956-06,1956,6,BierwischManfred,JohnsonUwe,206
uj0710,0023_060024.xml,letters-leipzig,Brief + Postkarte,"Bierwisch, Manfred","Johnson, Uwe",1956-01-18,1956,1,BierwischManfred,JohnsonUwe,124
uj0711,0028_060029.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1956-10-31,1956,10,BaumgärtnerKlaus,JohnsonUwe,185
uj0712,0024_060025.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1956-02-20,1956,2,BierwischManfred,JohnsonUwe,274
uj0713,1121_101851.xml,letters-leipzig,Brief,"Klemm, Eberhardt","Johnson, Uwe",1982-08-10,1982,8,KlemmEberhardt,JohnsonUwe,108
uj0714,1111_101829.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1982-01-21,1982,1,JohnsonUwe,BierwischManfred,356
uj0715,1112_101830.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Ine",1982-01-22,1982,1,JohnsonUwe,KlemmIne,952
uj0716,1120_101850.xml,letters-leipzig,Brief,"Menzhausen, Joachim","Johnson, Uwe",1982-08-07,1982,8,MenzhausenJoachim,JohnsonUwe,598
uj0717,1122_101852.xml,letters-leipzig,Brief,"Johnson, Uwe","Menzhausen, Joachim",1982-08-15,1982,8,JohnsonUwe,MenzhausenJoachim,899
uj0718,1128_101862.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1982-11-24,1982,11,KlemmErika,JohnsonUwe,37
uj0719,1110_101831.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1982-01-14,1982,1,KlemmErika,JohnsonUwe,33
uj0720,1126_101856.xml,letters-leipzig,Brief + Postkarte,"Bierwisch, Manfred","Johnson, Uwe",1982-09-17,1982,9,BierwischManfred,JohnsonUwe,40
uj0721,1127_101859.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Eberhardt",1982-09-28,1982,9,JohnsonUwe,KlemmEberhardt,457
uj0722,1115_101837.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1982-03-31,1982,3,KlemmErika,JohnsonUwe,76
uj0723,1118_101848.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Erika",1982-07-07,1982,7,JohnsonUwe,KlemmErika,841
uj0724,1124_101855.xml,letters-leipzig,Brief,"Johnson, Uwe","Menzhausen, Joachim",1982-09-07,1982,9,JohnsonUwe,MenzhausenJoachim,1403
uj0725,1116_101838.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1982-05-25,1982,5,KlemmErika,JohnsonUwe,145
uj0726,1125_101857.xml,letters-leipzig,Brief + Postkarte,"Klemm, Ine","Johnson, Uwe",0000-00-00,0,0,KlemmIne,JohnsonUwe,82
