,Number,Score,Rank
0,0,"0,01007",24.0
1,1,"0,00794",53.0
2,2,"0,00617",74.0
3,3,"0,00854",44.0
4,4,"0,01163",20.0
5,5,"0,00982",32.0
6,6,"0,00957",34.0
7,7,"0,0398",4.0
8,8,"0,00449",90.0
9,9,"0,0099",28.0
10,10,"0,01274",15.0
11,11,"0,00997",25.0
12,12,"0,00864",41.0
13,13,"0,00501",85.0
14,14,"0,00984",30.0
15,15,"0,00932",37.0
16,16,"0,00962",33.0
17,17,"0,0045",89.0
18,18,"0,0032",96.0
19,19,"0,0172",9.0
20,20,"0,00436",92.0
21,21,"0,42076",3.0
22,22,"0,00567",77.0
23,23,"0,01753",8.0
24,24,"0,00461",88.0
25,25,"0,00851",45.0
26,26,"0,00533",81.5
27,27,"0,0058",76.0
28,28,"0,00708",60.0
29,29,"0,00811",50.0
30,30,"0,01836",6.0
31,31,"0,0238",5.0
32,32,"0,00701",62.5
33,33,"0,01072",22.0
34,34,"0,0094",36.0
35,35,"0,00927",38.0
36,36,"0,01032",23.0
37,37,"0,00813",49.0
38,38,"0,00558",78.0
39,39,"0,00819",48.0
40,40,"0,77625",2.0
41,41,"0,00729",57.0
42,42,"0,01105",21.0
43,43,"0,00855",43.0
44,44,"0,00803",51.0
45,45,"0,00435",93.0
46,46,"0,01804",7.0
47,47,"0,01305",14.0
48,48,"0,00691",65.0
49,49,"0,0086",42.0
50,50,"0,00996",26.0
51,51,"0,00443",91.0
52,52,"0,0067",69.0
53,53,"0,0099",28.0
54,54,"0,00693",64.0
55,55,"0,00519",83.0
56,56,"0,00664",70.0
57,57,"0,00702",61.0
58,58,"0,01701",10.0
59,59,"0,00648",73.0
60,60,"0,01257",16.0
61,61,"0,00681",68.0
62,62,"0,00684",66.5
63,63,"0,00913",39.0
64,64,"0,01402",12.0
65,65,"0,01632",11.0
66,66,"0,01326",13.0
67,67,"0,00732",56.0
68,68,"0,00713",59.0
69,69,"0,00553",80.0
70,70,"0,00555",79.0
71,71,"0,0125",17.5
72,72,"0,0125",17.5
73,73,"0,00533",81.5
74,74,"0,00758",55.0
75,75,"0,0099",28.0
76,76,"0,00948",35.0
77,77,"0,00684",66.5
78,78,"0,00251",97.0
79,79,"0,00425",94.0
80,80,"0,00592",75.0
81,81,"0,00663",71.0
82,82,"0,00724",58.0
83,83,"0,00092",99.0
84,84,"0,00072",100.0
85,85,"0,00786",54.0
86,86,"0,00365",95.0
87,87,"0,00179",98.0
88,88,"0,00983",31.0
89,89,"0,00662",72.0
90,90,"0,00798",52.0
91,91,"0,00911",40.0
92,92,"0,00469",87.0
93,93,"0,83562",1.0
94,94,"0,01176",19.0
95,95,"0,00832",47.0
96,96,"0,00491",86.0
97,97,"0,00701",62.5
98,98,"0,00841",46.0
99,99,"0,00512",84.0
