,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,5.791883739317442e-05,4.5686154998582894e-05,3.5508854266697846e-05,4.914280522363428e-05,0.0058180317966035,5.6483254492197255e-05,5.503013356954805e-05,0.0347357907702182,0.1207998821876299,5.694077968404977e-05,7.32461364351006e-05,5.735842344346116e-05,4.97152785631817e-05,2.8792838494673317e-05,5.657031644046578e-05,5.360843622103999e-05,5.53153866530864e-05,2.586990379586028e-05,1.84207908182308e-05,9.890070840636848e-05,2.507258832929604e-05,0.1346961885454817,3.26121587354764e-05,0.011603092132573,0.1208005598873924,4.892685103465631e-05,3.067378702110693e-05,3.335979665167593e-05,4.071200964159776e-05,4.665831346093239e-05,0.00010558625597457708,0.00013684916835205818,4.033051310350735e-05,6.165513345090056e-05,0.0575655151338664,5.332968235554751e-05,5.9370540354579965e-05,4.675456583845882e-05,3.210380483954591e-05,4.711664941835297e-05,0.3782887994362444,4.194539890001232e-05,6.356351210858831e-05,4.914674397436073e-05,4.617250659940475e-05,2.5043125228737e-05,0.00010372918696986384,7.507508208003263e-05,3.972041892361064e-05,4.944268819778247e-05,0.0690710495454476,2.546821096605572e-05,3.854678892349698e-05,5.693674194332183e-05,3.984624957020838e-05,2.983583213844828e-05,3.818366335847125e-05,4.035734607795482e-05,9.782216494485812e-05,3.729347693533638e-05,7.23005890660558e-05,3.9170249700741535e-05,3.936409460552306e-05,5.252332927272664e-05,8.063933702641762e-05,9.384892001829785e-05,7.623915612387777e-05,4.207960049520882e-05,4.098774473623315e-05,3.179666116720107e-05,3.193076746199569e-05,7.188893741115245e-05,7.187588358153397e-05,0.0115329247769019,4.361228461418372e-05,5.691513285090556e-05,5.454641198297199e-05,3.934206186356996e-05,1.4445206148906335e-05,2.445162316305117e-05,3.407153417784397e-05,3.811494814746881e-05,4.1664069110238846e-05,5.316195215609259e-06,4.136024691790148e-06,4.51955582985018e-05,2.100273076355797e-05,1.0273252794601397e-05,5.6512349073667104e-05,3.8076168494408495e-05,4.589425450641152e-05,5.239730639575922e-05,2.6974767708042966e-05,0.0508149191942852,6.762578230097955e-05,4.785112326279091e-05,2.826510164559723e-05,4.032932991899496e-05,4.8393044500421606e-05,2.94450657560795e-05
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,4.251478727334814e-05,3.353549982221953e-05,2.606494628372648e-05,3.6072821971813466e-05,4.909718926395541e-05,4.146101091326719e-05,4.039436093047312e-05,0.00016803450208924587,1.895619157076915e-05,4.179685305166791e-05,5.376564947244467e-05,4.210342059318954e-05,3.649304073562087e-05,2.113511697907743e-05,4.152491793172325e-05,3.935077713184482e-05,4.060374831999156e-05,1.8989563778650647e-05,1.3521611245881463e-05,7.259715091545862e-05,1.84043017296109e-05,0.0355488631039678,2.3938653701754677e-05,7.399198258833957e-05,1.9453650817783032e-05,3.5914302795351735e-05,2.251580986023093e-05,2.448745040409418e-05,0.0042514595522446,3.424910375632828e-05,0.0042990798931648,0.00010045286719978276,2.9604240388683304e-05,4.525738086178913e-05,3.968155600373165e-05,3.914616043326391e-05,4.358039641479683e-05,3.431975692443853e-05,2.356550122291003e-05,3.458554102970074e-05,0.0623790577200105,3.078963238201864e-05,4.6658208577266616e-05,3.607571317538029e-05,3.389250171969599e-05,1.838267461295838e-05,7.614145097775784e-05,5.510817011906878e-05,2.9156406394728288e-05,3.629294829731722e-05,4.206219517568919e-05,1.869470486958037e-05,2.829491414042533e-05,4.17938891854054e-05,0.4432946529452779,2.1900716823417068e-05,2.8028365175607845e-05,2.9623936885572585e-05,7.180545605597965e-05,2.737493205925766e-05,5.307157916542309e-05,2.8752559761622703e-05,2.8894849822365187e-05,3.855426440554119e-05,5.919256003481167e-05,6.888893234037193e-05,5.59626479119938e-05,3.088814182261379e-05,3.00866751942194e-05,2.3340045249002052e-05,2.3438484735218027e-05,5.276941007283353e-05,5.275982802985217e-05,2.2486283680078967e-05,3.201319443430754e-05,4.1778027230839374e-05,4.003928957064586e-05,2.887867689177223e-05,1.0603370063722784e-05,1.794848798860216e-05,2.5009894756940584e-05,2.7977925410072147e-05,3.058312485002725e-05,3.902303963060114e-06,3.0360106977819965e-06,3.317538184886718e-05,1.541686039915748e-05,7.540986263292628e-06,4.148236752188833e-05,2.7949459564164335e-05,3.368825334258051e-05,3.846175847747025e-05,1.9800578921678737e-05,0.4467930237287236,4.9640080466441127e-05,3.5124674766832644e-05,2.0747736622623304e-05,2.960337188302757e-05,3.552246704260601e-05,2.1613878372099286e-05
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,4.400080909644304e-05,0.0131421043975557,2.6975995861521134e-05,3.733367740844259e-05,5.0813286165246857e-05,4.2910200030186846e-05,4.180626736873688e-05,0.0045430400649325,1.961876843316332e-05,4.3257780878311546e-05,5.564492333391849e-05,4.357506389287611e-05,3.776858410305103e-05,2.187385394752655e-05,4.2976340794362114e-05,4.072620712512442e-05,4.202297348781416e-05,1.965330710176065e-05,1.399423290727177e-05,7.513464333806598e-05,1.9047588354407676e-05,0.0018383466306881,2.477538285172314e-05,7.657822864323299e-05,2.0133615402063468e-05,3.716961750202056e-05,2.330280626695959e-05,0.4063546419750931,3.0928821171116924e-05,0.0087737107009745,8.02136386268872e-05,0.00010396400208778228,3.063899911841377e-05,4.683926471750105e-05,0.004410200790885,4.0514438447221446e-05,4.510366453595975e-05,3.551933737688498e-05,2.4389187552663036e-05,3.5794411449379345e-05,0.1912642315905629,3.1865824186779975e-05,4.828905564528891e-05,3.733666966841522e-05,3.507714829621367e-05,1.9025205303893604e-05,7.880282752581807e-05,5.703436918249674e-05,3.0175511956918192e-05,3.756149782215695e-05,4.3532397520969046e-05,1.934814197215597e-05,2.928390791393121e-05,4.325471341585982e-05,3.027110521307844e-05,2.2666213847588257e-05,0.0830425206621929,3.065938406810014e-05,7.431527632228871e-05,2.8331769645771906e-05,5.4926593147237526e-05,2.975754964904468e-05,2.9904813182525328e-05,3.9901853843344176e-05,6.126152101563554e-05,7.129681118425067e-05,5.791871358723079e-05,3.1967776833560404e-05,3.113829649566257e-05,2.415585120303495e-05,2.425773145031673e-05,0.0044237461054758,5.460394535616049e-05,2.3272248056521877e-05,3.313215347438213e-05,4.323829703747672e-05,4.14387851790949e-05,2.988807495855221e-05,1.0973990271974911e-05,1.857584252929721e-05,2.588406705758429e-05,2.8955839458118005e-05,3.1652098585056766e-05,4.038701419600894e-06,3.142128555623939e-06,3.43349628929861e-05,1.5955726814022906e-05,7.804566793117755e-06,4.293230311758664e-05,2.892637864384872e-05,3.486576081373766e-05,3.98061145502091e-05,2.0492669704077472e-05,0.2745371197209771,5.137515307539102e-05,3.6352389559265454e-05,0.004390605176618,3.0638100255829524e-05,3.6764085891504096e-05,2.2369349515260645e-05
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,1.764094560519694e-05,1.3915109686500298e-05,1.0815302841273928e-05,1.4967937770433997e-05,2.037222577652303e-05,1.7203695118002707e-05,1.676110289226081e-05,0.0911574228167054,7.865619607398687e-06,1.734304834720666e-05,2.2309341257508e-05,1.7470254471737648e-05,1.51423019582858e-05,8.769735729598933e-06,1.7230212485457126e-05,1.6328081672897744e-05,1.6847985405047707e-05,0.2067068890417092,5.6106127722000246e-06,3.012322235455988e-05,7.636620257000037e-06,0.0865696754005931,9.933026010435528e-06,3.070198920834874e-05,8.072033706590838e-06,1.490216234619484e-05,9.342635879782216e-06,1.016074190401479e-05,1.2400082251138509e-05,1.42112101492482e-05,3.21595094469804e-05,4.168158139340687e-05,0.2154697260697111,1.877894834292154e-05,1.646533396699453e-05,1.624317869487335e-05,1.808310594766397e-05,1.424052674178938e-05,9.77819135162802e-06,1.4350810321794395e-05,0.2921397117828778,1.2775748507524542e-05,1.9360203174848745e-05,1.4969137436905994e-05,1.406324287634416e-05,7.627646372548696e-06,3.15938825322885e-05,2.286640234659868e-05,1.209806310320771e-05,1.505927626189854e-05,1.7453148532973343e-05,7.757119178065822e-06,1.1740598348656674e-05,1.7341818530315378e-05,1.2136388658277623e-05,9.08741120384056e-06,1.1629997400350516e-05,1.2292058663028506e-05,2.979471910080521e-05,1.1358864018262676e-05,2.2021346013556127e-05,1.193049231326932e-05,1.1989533681760229e-05,1.599757930937356e-05,2.456116562674341e-05,0.012290390199109,2.3220956543681267e-05,1.2816623689892608e-05,1.2484065770574275e-05,9.684641393433342e-06,9.725487549162036e-06,2.1895964966917657e-05,2.189198902560731e-05,9.330384383975804e-06,1.3283449309841457e-05,1.733523682320504e-05,1.661377075334164e-05,1.1982822939282968e-05,4.399727401274524e-06,0.0017591340082266,1.037752324061302e-05,1.1609068090404e-05,1.269006095332132e-05,1.6192091355104306e-06,1.2597522653004766e-06,1.3765683522410207e-05,6.397021204783125e-06,3.129031967747304e-06,1.7212556758743723e-05,1.1597256566191568e-05,1.3978492728413804e-05,1.5959195204690984e-05,8.215986909752573e-06,0.092551437957542,2.0597491261471003e-05,1.4574516696461658e-05,8.608997402183778e-06,1.2283525488701778e-05,1.473957531133763e-05,8.968391402926537e-06
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,6.29905901768911e-05,4.968673398497465e-05,3.8618242137369056e-05,5.344607114557743e-05,7.27431824574085e-05,6.142929823370956e-05,5.9848932524800347e-05,0.00024896261125871734,2.8085797227956397e-05,6.192688732825485e-05,7.966004792022636e-05,6.2381102710902e-05,5.406867400056632e-05,3.1314128032913826e-05,6.152398389644405e-05,5.830274204401562e-05,6.015916423680595e-05,2.813524202598504e-05,2.00338359226485e-05,0.00010756110225658523,2.7268108394570613e-05,0.0213959973514328,3.5467892971418697e-05,0.00010962770721704968,2.882284082073946e-05,5.321120659326345e-05,3.335978473296303e-05,3.628099896075921e-05,4.427701987874743e-05,5.074402101014672e-05,0.00011483208016172473,0.00014883257792617125,4.386211700489265e-05,6.705406079102151e-05,5.879282932174874e-05,5.799957866415935e-05,6.45694137585822e-05,5.084870187632433e-05,3.491502427852678e-05,5.1242491866203896e-05,0.6053116058110117,4.561841277960919e-05,6.912954958429105e-05,5.34503547991172e-05,5.021567371767817e-05,2.723606531193661e-05,0.00011281239403073406,8.164914802583899e-05,4.319859898234842e-05,5.3772213837243776e-05,6.232002247164453e-05,2.7698374340823308e-05,4.192219825188112e-05,6.192249601650064e-05,4.333544818458164e-05,3.244845303198354e-05,4.152727503382662e-05,4.389129965034483e-05,0.0001063881144648798,4.055913805655834e-05,7.863170222999749e-05,4.260025333859123e-05,4.2811072572963685e-05,5.712261602361042e-05,8.770064558246607e-05,0.00010206694618689112,8.29151560179132e-05,4.576436594553211e-05,4.457690014439674e-05,3.4580985094370447e-05,3.472683461476406e-05,0.0063329375913492,7.816980675133333e-05,3.331603827125587e-05,4.743126192539434e-05,6.189899469040793e-05,5.932285310761717e-05,4.278711049980569e-05,1.571012301869335e-05,2.6592767450906135e-05,3.705506088676135e-05,0.2815053639886968,4.5312447910668986e-05,5.781716090976917e-06,4.498202105706603e-06,4.915317742431438e-05,2.2841867441882945e-05,1.1172846101441237e-05,6.146094052730904e-05,0.0062961639549048,4.99130560488079e-05,5.69855577580572e-05,2.9336855059428588e-05,0.0740288671312943,7.354753876352261e-05,5.204128105143171e-05,3.074017908853614e-05,4.386083021299423e-05,5.263065646233682e-05,3.2023468585565784e-05
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.00017104463951690918,0.00013491935032465194,0.00010486396915179712,0.00014512745391047485,0.00019752682719433888,0.00016680510759869402,0.0001625137827797621,0.0006760330388451907,7.626416975790124e-05,0.00016815626095453712,0.00021630888267837648,0.0001693896373393232,0.00014681806961346666,8.503037876189077e-05,0.00016706221703368044,0.00015831525737036974,0.0001633561859259733,7.639843215536482e-05,5.439987518623757e-05,0.0002920714016149745,7.404381761719717e-05,0.0071462171539612,9.630951147916432e-05,0.00029768306042772487,7.826553782385843e-05,0.00014448970273886282,9.058515467131906e-05,9.851741936580623e-05,0.00012022981341777864,0.00013779030736091108,0.0003118150139740193,0.00040413996071898194,0.0001191031862137196,0.00018207858703874827,0.0001596460402939188,0.0001574920475722614,0.0001753317768438146,0.000138074557769891,9.48082519099124e-05,0.00013914385505183692,0.2679463309900643,0.00012387223150807006,0.00018771436900982133,0.00014513908574268134,0.00013635563319884598,7.39568078352162e-05,0.0003063307585440816,0.0002217100848193968,0.000117301469470626,0.000146013061728571,0.00016922378006641847,7.521216170583841e-05,0.00011383553111048672,0.00016814433678723065,0.00011767306977470992,8.811052470140407e-05,0.00011276315666091742,0.0510716534090701,0.00028888627073389263,0.00011013427765192866,0.2889441854013349,0.00011567672179552792,0.0680528771540544,0.00015511074334410195,0.0002381423204152853,0.0002771525710126344,0.0002251478027391965,0.00012426855271384905,0.00012104410824804104,9.39012019572434e-05,9.4297241723967e-05,0.00021230083230561,0.0002122622820224569,9.04663655354842e-05,0.0001287948418180956,0.00016808052128973474,0.00016108526680592107,0.00011618411370424518,4.265926578799558e-05,7.22099969157922e-05,0.00010061930700846834,0.0001125602284077922,0.00012304141454690568,1.5699671042819696e-05,1.2214417351610232e-05,0.00013347053091648743,6.20248035701564e-05,3.033874469872828e-05,0.00016689102907818822,0.00011244570518742324,0.00013553390522427064,0.00015473857534950894,7.966129201375004e-05,0.3029229171337134,0.00019971097619240485,0.00014131288709064803,8.347187788078287e-05,0.00011909969205918349,0.00014291327699674828,8.695652199665586e-05
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.0267554952393204,5.300187037371728e-05,4.119488039694114e-05,5.701203334674788e-05,7.759666248832427e-05,6.552790737093071e-05,6.384209846926283e-05,0.0002655735845674026,2.9959702814614617e-05,6.60586959853814e-05,8.497502643479693e-05,6.65432169611431e-05,5.767617673408355e-05,3.340343028721476e-05,0.2469324212027562,6.219274499273106e-05,6.417302907521713e-05,3.001244660688241e-05,2.1370508574414163e-05,0.00011473766017266606,2.908745716517718e-05,0.1829533656582918,3.78343375571533e-05,0.00011694215057570482,3.074592251213549e-05,5.676149845425744e-05,3.558557474609429e-05,3.8701694591732215e-05,0.0067193066834171,5.412970038711539e-05,0.00012249376321085134,0.0001587627998454189,4.678863055303969e-05,7.152795833092617e-05,6.271553126349045e-05,6.186935432338139e-05,6.887753377338505e-05,5.424136563968427e-05,3.724458104783625e-05,5.466142959487149e-05,0.3587992078670272,4.866210770727533e-05,7.37419253027992e-05,0.053433620341668,5.3566101364563615e-05,2.905327614388777e-05,0.00012033932209699724,8.709684080057731e-05,4.608084210729178e-05,5.735993652493348e-05,6.647806140222675e-05,2.9546430780074198e-05,4.471927895682181e-05,6.605401168199294e-05,4.6226821991574485e-05,3.46134383062675e-05,0.040076750810308,4.681976028661981e-05,0.00011348640975027516,4.326527435660159e-05,8.387806874405068e-05,4.544257439062748e-05,4.566745964341696e-05,6.093388007363449e-05,9.355209884108784e-05,0.0067809523972211,8.84473178013055e-05,4.881779897857562e-05,4.755110456303944e-05,3.688825451722246e-05,3.704383522768551e-05,8.340049938736064e-05,8.338535525046972e-05,3.553890948744774e-05,5.059591151617661e-05,6.60289423296875e-05,6.328091863634695e-05,4.564189880265433e-05,1.6758314282515256e-05,2.836705696408945e-05,3.9527402513601296e-05,4.4218287598852633e-05,4.833572863137583e-05,6.1674765518752425e-06,4.798325544873608e-06,5.243271451666872e-05,2.4365894075759115e-05,1.1918306825181095e-05,6.556166086223874e-05,4.4173298167268726e-05,5.324329281644876e-05,6.078767717716931e-05,3.129423216874292e-05,0.0722960535465666,7.845468605420877e-05,5.551351459736281e-05,3.2791187036124095e-05,4.67872579054147e-05,5.614221358046955e-05,3.416009857686022e-05
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.00010503757619659385,8.285323398702352e-05,6.439638904305017e-05,8.912197448217711e-05,0.00012130014258789855,0.00010243410286848996,9.979882380376176e-05,0.0004151481860505589,4.683340889629929e-05,0.00010326383874310428,0.00013283409997823364,0.00010402124842493908,9.01601723247035e-05,5.221668982701089e-05,0.00010259199236414747,9.722053234810468e-05,0.00010031613896142068,4.691585869913291e-05,3.340666536582542e-05,0.00017935944785306193,4.546990280910958e-05,0.1399768638922281,5.9143143445015055e-05,0.00018280553679100425,4.806243806271538e-05,8.873033498109797e-05,5.5627847285610455e-05,6.049900758395106e-05,7.383246983734756e-05,8.461627297675698e-05,0.00019148389205322157,0.00024818013612120234,7.314061424265756e-05,0.00011181346292913197,9.80377588518303e-05,9.671500372038037e-05,0.0001076702837454064,0.250401857443985,5.8221228166982775e-05,8.544747919943016e-05,0.0602455963761405,7.606925883453221e-05,0.0001152743657664609,8.912911752661947e-05,8.373524743254343e-05,4.541647057860831e-05,0.0001881160408347873,0.00013615094862688446,7.203418985998252e-05,8.96658213921785e-05,0.0001039193963821642,4.6187376514109045e-05,0.1147985613076933,0.00010325651617727832,7.226238757120651e-05,5.410819057635927e-05,6.924723682304378e-05,7.318927665932478e-05,0.000177403476426172,6.763285662382692e-05,0.00013111932101695506,7.103644121258055e-05,7.1387984853177e-05,9.52526578379311e-05,0.00014624189449550897,0.0001701978757010012,0.00013826203237065572,7.631263751607354e-05,7.43325238321512e-05,5.7664213759593714e-05,5.790741961095277e-05,0.000130372778199204,0.00013034910468148644,5.5554899527985183e-05,7.909220686135025e-05,0.00010321732742982808,9.89215799692039e-05,7.134802780438459e-05,2.619682144586804e-05,4.434376356149128e-05,6.178976527180583e-05,6.91226196943791e-05,7.555905868964489e-05,9.641081989351728e-06,7.500806788744322e-06,8.196352192466369e-05,3.808909211934124e-05,1.863085693303266e-05,0.0001024868667783955,6.905229161207405e-05,8.323062878453372e-05,9.502411151107512e-05,4.891956306520902e-05,0.4259104929305931,0.00012264141652350408,8.677946989316338e-05,5.1259622972918414e-05,7.313846850149685e-05,8.776226056804828e-05,5.339952383665076e-05
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.00021482889081730967,0.0001694561984631599,0.00013170719785903664,0.00018227738699548885,0.0215798758030919,0.00020950411745903843,0.00020411429317929652,0.0008490849423937088,9.57863809381367e-05,0.00021120114098213552,0.00027167993964016216,0.00021275023881678397,0.0001844007689225568,0.0001067965766526514,0.00020982704213468327,0.0001988410232345878,0.00020517233588693528,9.595501201600642e-05,6.83252329910297e-05,0.0003668362564627409,9.299765988287008e-05,0.0089755160352356,0.00012096295788433892,0.0003738843957192135,9.830006206220527e-05,0.0001814763833674196,0.00011377327203890597,0.00012373604918760182,0.00015100641290287313,0.00017306206718506584,0.0003916338669333176,0.0005075922855075912,0.0001495913900568126,0.0002286873239967883,0.00020051246187301647,0.00019780708701573263,0.00022021345568483085,0.00017341908042002016,0.00011907740374477542,0.106833690979669,0.5711852593166986,0.00015558122238208428,0.0002357657614921307,0.00018229199636072912,0.0001712601430803924,9.288837721253314e-05,0.0003847457439596896,0.0002784637492252662,0.00014732846728659913,0.0001833896939686748,0.00021254192516209853,9.446507836125477e-05,0.0001429753130711098,0.0002111861644494385,0.00014779519036765674,0.00011066518275226358,0.00014162843067717766,0.00014969091722961733,0.0003628357912261607,0.00013832660746196878,0.0002681727751035505,0.00014528781437935138,0.00014600681164792756,0.00019481621312761243,0.0002991023319758496,0.0003480984822790885,0.000282781459091762,0.00015607899445658688,0.00015202915208767086,0.00011793816584876108,0.00011843558444103662,0.000266645902804204,0.0002665974843644688,0.00011362407509029288,0.00016176392951523644,0.00021110601336968112,0.0002023201036446708,0.00014592508919408553,5.357924561798334e-05,9.069441513720996e-05,0.00012637598103329447,0.00014137355655976882,0.00015453773170770094,1.9718495276153728e-05,1.534108136353915e-05,0.00016763650819207247,7.790200144109717e-05,3.810489993036589e-05,0.0002096120332416625,0.00014122971752175993,0.00017022806800437622,0.042857920329726,0.00010005310340459932,0.231143057999804,0.00025083327732825607,0.00017748636190890088,0.00010483912848840704,0.0001495870014636041,0.0001794964219106278,0.00010921577678571923
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.0001200646976573609,9.47065692944764e-05,7.360920977658975e-05,0.00010187214241122808,0.0001386538558196765,0.00011708876038503898,0.00011407646711241846,0.0004745410475568316,5.3533595147638925e-05,0.00011803720179551646,0.00015183791010774916,0.00011890296972110196,0.00010305886924352048,5.9687031096511135e-05,0.0001172692382220743,0.00011112931433809485,0.00011466779157216836,5.362784056920692e-05,3.818596470068324e-05,0.00020501937171668472,5.1975020092498686e-05,0.0050162834942242,6.760441256699456e-05,0.00020895847276429475,5.493845444296044e-05,0.131243648407093,6.358620321908424e-05,0.0239131949676192,8.439525633879598e-05,9.672183612493234e-05,0.00021887839036379352,0.0002836858397435213,8.360442094629287e-05,0.00012780997150469377,0.00011206345673399084,0.00011055146263927744,0.0001230740515220846,9.692136555484928e-05,6.65506041764099e-05,0.03586373303109,0.0688645870935783,8.695204986350219e-05,0.00013176600579101116,0.0001018803073699255,9.571476732703444e-05,5.191394362031994e-05,0.00021502872005590808,0.0001556292812017482,8.233970679544483e-05,0.00010249379436841902,0.00011878654629279794,5.279513863090286e-05,7.990679312750126e-05,0.00011802883163234436,8.260055143977412e-05,6.184913797114167e-05,7.91540404284008e-05,8.366004521482598e-05,0.0002027835707157512,7.730870014598397e-05,0.00014987780759024847,8.119921599180953e-05,8.160105295768336e-05,0.00010887990734826292,0.000167163880615253,0.0001945471061681682,0.0240020831007808,8.723024733219488e-05,8.496685018047112e-05,6.591390092376829e-05,6.619190083645928e-05,0.00014902446118844468,0.00014899740083680515,6.350281924564157e-05,9.040747366530915e-05,0.00011798403637635542,0.00011307372105161029,8.155537948390136e-05,2.9944649908858145e-05,5.0687770584452975e-05,7.062967134536032e-05,7.901159504439796e-05,8.63688583204492e-05,1.1020376098309852e-05,8.573904043551904e-06,0.2027680356507451,4.353827929914068e-05,2.1296266400658343e-05,0.00011714907292384102,7.893120552814545e-05,9.513795579349189e-05,0.0001086186642138697,5.59182033861991e-05,0.4510769946646377,0.0478282684485671,9.919450917343794e-05,5.859304219620156e-05,8.360196822629456e-05,0.00010031790205352188,6.103908635986232e-05
