,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,0.0001173452863835594,0.00012916494956575824,0.0001063118611990112,0.0116803872408545,9.514828098874958e-05,0.00015875834596824272,0.0001605474499377269,0.00011444021945051278,0.0001014952512357952,0.00015413191329996257,8.596460694621531e-05,0.00013946924167072347,0.00010074193472175492,0.00010182284795916792,0.5490680308398477,0.00011011264140467962,8.84575273947542e-05,0.00010064584218877785,8.202963194730905e-05,0.00012658064096174773,0.0002409119220246647,2.803518471491509e-05,0.00013129693403378446,0.242522180786383,0.00010079875876739864,0.00011359580016849728,7.274081135420349e-05,0.00011573330434093208,0.00013064208199222663,3.972313705160085e-05,9.700245125636324e-05,0.00014639496275036068,0.0058301776440307,0.000107926758199052,5.774989105693647e-05,8.484287786829146e-05,0.1847978105282848,0.0023492632662327,7.640110432513373e-05,0.00013518524123764172
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,8.605071868919975e-05,9.471822074946983e-05,7.795977446813806e-05,9.908687002733908e-05,6.977338599150532e-05,0.00011641941648872152,0.00011773138808237032,8.392039794830706e-05,7.4427696088564e-05,0.0001130267974211654,6.303888666969752e-05,0.00010227448285886067,7.387527997172295e-05,7.466792673058833e-05,0.1613491821503284,8.074693259231197e-05,6.48669754054529e-05,7.380481415432047e-05,6.0153321879535177e-05,9.2823115973272e-05,0.00017666362808351632,2.055854025033004e-05,9.62816307624482e-05,5.2518727910869934e-05,7.39169497321127e-05,8.330117506912857e-05,5.334171731964585e-05,0.3895338616479706,9.580141983495554e-05,2.9129457153540492e-05,7.113307148904445e-05,0.0001073531979458539,4.2198598302699855e-05,7.914399798273517e-05,4.234869403641092e-05,6.221630916100737e-05,5.395168641961863e-05,0.4462025721701084,5.602585445432416e-05,9.913297349369902e-05
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,8.906698365397756e-05,9.803830052480093e-05,0.0044622144754224,0.0044840821216604,7.221909502038889e-05,0.0001205001704036668,0.00012185812945695554,8.686199053483662e-05,7.703654881566205e-05,0.00011698863265433572,6.52485368408619e-05,0.00010585942606604236,7.64647693116862e-05,7.728520006451038e-05,0.2896874392870933,0.0044650993295046,6.714070406532903e-05,7.639183351402694e-05,6.226182672486446e-05,0.0044775988093948,0.0001828560727261167,2.1279161828262637e-05,9.965651146122957e-05,5.435962362220509e-05,7.650789968786475e-05,8.622106254610987e-05,5.521146060085477e-05,8.784346302808809e-05,9.915946809563108e-05,3.015050802207029e-05,0.508330183218841,0.0001111161611697924,4.367775101126568e-05,8.191816735545108e-05,4.38331079271011e-05,6.439712620029242e-05,5.584281044527536e-05,0.1814255327721594,5.798968258367049e-05,0.00010260779996067216
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,3.5648460052499454e-05,3.923916917913079e-05,3.229660307506645e-05,4.104898113233472e-05,2.8905206152078147e-05,4.8229381244602845e-05,4.877289520542318e-05,3.476592641434338e-05,3.083335957246051e-05,4.682391192202876e-05,2.6115287210039354e-05,4.236952197636597e-05,3.0604508678783584e-05,3.093288055933945e-05,0.4298532120976683,3.3451246482618646e-05,2.6872614391749217e-05,3.057531661722961e-05,2.491987661129078e-05,3.845407908414163e-05,0.1245840887100257,8.516841137592691e-06,3.988684720253737e-05,2.175707306641841e-05,3.062177132122608e-05,3.450939930558422e-05,0.1666211919715469,3.515875416636684e-05,3.968790894465569e-05,1.2067537674375232e-05,2.9468486678741195e-05,4.447349478048187e-05,1.7481725530946368e-05,3.278719449947769e-05,1.7543906089676797e-05,2.5774515838163455e-05,0.2385221062673339,0.0392945282113838,2.320997970552449e-05,4.106808053793934e-05
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,0.0001276625739990129,0.0001405214511822747,0.00011565906280146132,0.00014700266389272373,0.00010351395302663772,0.0001727167721410176,0.0001746631785535397,0.00012450208640090086,0.00011041896458529984,0.00016768357207761468,9.352282766344542e-05,0.0001517317221177238,0.00010959941462140954,0.00011077536442229632,0.7166668035996036,0.00011979401699701482,9.623493183944952e-05,0.00010949487339542588,8.924187993674988e-05,0.2639051248772017,0.0002620934936593002,3.050010744824672e-05,0.00014284088499425164,7.791539792330595e-05,0.00010966123477759548,0.0126839365167086,7.913636327837446e-05,0.00012590886251094056,0.0001421284567426343,4.321569344291462e-05,0.00010553114652704204,0.00015926636971264914,6.260472614912847e-05,0.00011741594553720772,6.282740421624645e-05,9.230247339246754e-05,8.00412973282996e-05,0.0025558162991591,8.311847825427617e-05,0.00014707106177801096
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.00034908891685562945,0.0003842510741525607,0.0003162657284210135,0.0004019737273478432,0.00028305534354800704,0.0004722880717568375,0.0004776104531331792,0.00034044667224313155,0.0003019368601145428,0.0004585249593315421,0.0002557349549489758,0.0004149051743788677,0.0002996958289317801,0.0003029114232082306,0.2080621947218237,0.0518463527810464,0.00026315111051864354,0.00029940996454567054,0.00024402885066002997,0.0003765630491862583,0.0007166856420828576,8.340149457718977e-05,0.0003905934861201247,0.0002130569752387457,0.0002998648740221835,0.2751047621546593,0.0002163956629995174,0.00034429345312126053,0.0003886453755744577,0.00011817182704829872,0.00028857128978100247,0.00043550840902633535,0.00017119046997761097,0.0003210698638230523,0.00017179937549175424,0.0002523979381766279,0.000218870174028228,0.4534848864896748,0.00022728461941162024,0.0004021607590121924
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.00013621725830754224,0.00014993781038438565,0.00012340939039312115,0.0336619129592143,0.00011045043536387828,0.0001842905436401417,0.0135883912306916,0.2279672504651819,0.00011781815257056812,0.00017892006824023792,9.978980349857116e-05,0.00016189928291214002,0.0001169436844658592,0.00011819843480314548,0.6239694811344801,0.00012782142836244745,0.00010268364609885095,0.00011683213791985492,9.522198895417008e-05,0.00014693788219376152,0.00027965640992630404,3.25439232857528e-05,0.0001524126697327155,8.313651803022528e-05,0.00011700964719808372,0.00013186476364824895,8.443930041934752e-05,0.0269383937338297,0.00015165250157899408,4.6111582214365945e-05,0.00011260280124131227,0.00016993882814097258,6.679987631453142e-05,0.00012528400205051324,6.703747606548325e-05,9.84876731423574e-05,8.540487420787926e-05,0.0027270818541688,0.0670988075159603,0.00015692631116723935
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.0002134580421623295,0.00023495871116784503,0.00019338758674974492,0.0002457956145191808,0.00017308037161870382,0.00028879085604292966,0.000292045342374001,0.0002081735529511333,0.0001846258872874672,0.00028037510037006027,0.0001563747233443559,0.0002537028302235108,0.0001832555598276153,0.00018522180517513908,0.4947508111979818,0.0002003014315780702,0.00016090949363305922,0.3047051524521619,0.00014921677022062543,0.00023025770039905943,0.0004382330879560028,5.0997665311791126e-05,0.0002388369174809461,0.00013027834058191806,0.00018335892614001407,0.00020663750414799705,0.00013231985412873857,0.00021052575113109583,0.0002376457027419064,7.225874447027288e-05,0.00017645321740874883,0.00026630112801443817,0.0001046781515936306,0.0001963251802615609,0.00010505048016848656,0.00015433423155990084,0.00013383294793949425,0.1827863879229513,0.00013897814433701716,0.0107466710718859
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.0004397001856670048,0.0004839892087364686,0.1085504454822075,0.0005063120426169278,0.0003565266071267695,0.0005948775306598345,0.000601581416020755,0.0004288147167299702,0.0003803091047630777,0.0222079596430493,0.0003221148015395506,0.000522600040848725,0.0003774863802949909,0.0003815366303376464,0.7595674666299004,0.0869342695979904,0.0003314559316169254,0.000377126315516137,0.0003073702021530983,0.0004743056414793226,0.0009027121592033644,0.0001050496044985069,0.0004919778889410246,0.00026835911152364104,0.0003776993035762741,0.00042565062444705225,0.00027256440581232395,0.000433659987331996,0.0004895241170586482,0.00014884509872662322,0.0003634743000086388,0.0005485511543399017,0.00021562552633175495,0.0004044083668043254,0.00021639248241284184,0.00031791161196942147,0.0002756812133253195,0.0088028375589523,0.00028627975432366507,0.0005065476211574345
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.00024423372171232223,0.0242982869745038,0.00022126957394716569,0.0002812336190591232,0.0001980345312248342,0.0003304277733148794,0.0003341514807978468,0.000238187332200244,0.0002112446414287197,0.00032079866162536345,0.000178920317441508,0.000290280871157416,0.00020967674465568683,0.00021192647680051783,0.2056405681389615,0.00022918023421865467,0.0001841088960188296,0.00020947674482884207,0.00017073035414220277,0.0002634554995056899,0.0005014160954759595,5.8350341226619885e-05,0.0002732716399333889,0.0001490614439095728,0.0002097950139835655,0.00023642982092485972,0.0001513972961755039,0.1083734157582938,0.0002719086797650716,8.267677295950061e-05,0.2765405995740893,0.000304695550152637,0.00011977030374070796,0.000224630700044833,0.00012019631342680712,0.00017658563425228482,0.00015312854288308735,0.3773460979020492,0.0001590155568010367,0.00028136447236685205
