,Number,Score,Rank
0,0,"0,02014",15.0
1,1,"0,0127",27.0
2,2,"0,00836",59.0
3,3,"0,07892",6.0
4,4,"0,0073",70.0
5,5,"0,00633",84.0
6,6,"0,01064",38.0
7,7,"0,15964",4.0
8,8,"0,00934",48.0
9,9,"0,00637",83.0
10,10,"0,0128",26.0
11,11,"0,0107",36.0
12,12,"0,00647",79.0
13,13,"0,00786",66.0
14,14,"0,00872",53.0
15,15,"0,00854",55.0
16,16,"0,01387",24.0
17,17,"0,02255",13.0
18,18,"0,00675",77.0
19,19,"0,00645",80.0
20,20,"0,00625",85.0
21,21,"0,12331",5.0
22,22,"0,00434",94.0
23,23,"0,00721",71.0
24,24,"0,01526",20.0
25,25,"0,01069",37.0
26,26,"0,01188",30.0
27,27,"0,01011",44.0
28,28,"0,01049",40.0
29,29,"0,00496",92.0
30,30,"0,00909",51.0
31,31,"0,00712",72.0
32,32,"0,01022",43.0
33,33,"0,00801",63.0
34,34,"0,00709",73.0
35,35,"0,00639",82.0
36,36,"0,00846",57.0
37,37,"0,01409",23.0
38,38,"0,03537",8.0
39,39,"0,02334",12.0
40,40,"0,00596",86.0
41,41,"0,00865",54.0
42,42,"0,00703",74.0
43,43,"0,02344",11.0
44,44,"0,00666",78.0
45,45,"0,01881",17.0
46,46,"0,01351",25.0
47,47,"0,81547",3.0
48,48,"0,01075",35.0
49,49,"0,01843",18.0
50,50,"0,01057",39.0
51,51,"0,00812",62.0
52,52,"0,01508",21.0
53,53,"0,00323",97.0
54,54,"0,01572",19.0
55,55,"0,00143",99.0
56,56,"0,01163",32.0
57,57,"0,00841",58.0
58,58,"0,00822",61.0
59,59,"0,00733",69.0
60,60,"0,00699",75.0
61,61,"0,00642",81.0
62,62,"0,01111",33.0
63,63,"0,008",64.0
64,64,"0,00282",98.0
65,65,"0,00505",91.0
66,66,"0,01045",41.0
67,67,"0,01447",22.0
68,68,"0,01185",31.0
69,69,"0,00344",96.0
70,70,"0,00422",95.0
71,71,"0,00932",49.0
72,72,"0,01217",28.0
73,73,"0,00592",87.0
74,74,"0,0192",16.0
75,75,"0,02797",9.0
76,76,"0,0103",42.0
77,77,"0,00789",65.0
78,78,"0,00114",100.0
79,79,"0,00752",68.0
80,80,"0,01103",34.0
81,81,"0,00988",45.5
82,82,"0,02408",10.0
83,83,"0,00783",67.0
84,84,"0,01194",29.0
85,85,"0,00534",90.0
86,86,"1,28792",1.0
87,87,"0,00896",52.0
88,88,"0,00588",88.0
89,89,"0,90667",2.0
90,90,"0,02203",14.0
91,91,"0,04454",7.0
92,92,"0,00967",47.0
93,93,"0,00847",56.0
94,94,"0,00472",93.0
95,95,"0,00988",45.5
96,96,"0,00921",50.0
97,97,"0,00832",60.0
98,98,"0,00681",76.0
99,99,"0,00574",89.0
