,Number,Score,Rank
0,0,"0,00827",72.0
1,1,"0,01426",23.0
2,2,"0,02446",7.0
3,3,"0,02235",9.0
4,4,"0,01029",50.0
5,5,"0,01157",36.0
6,6,"0,00813",73.0
7,7,"0,00947",57.0
8,8,"0,00211",99.0
9,9,"0,00717",82.0
10,10,"0,01484",20.0
11,11,"0,0073",81.0
12,12,"0,0091",64.0
13,13,"0,00971",55.0
14,14,"0,55022",4.0
15,15,"0,01014",51.0
16,16,"0,0213",10.0
17,17,"0,01316",27.0
18,18,"0,03912",6.0
19,19,"0,6321",3.0
20,20,"0,01549",18.0
21,21,"0,79284",1.0
22,22,"0,01129",40.0
23,23,"0,01223",31.0
24,24,"0,01263",30.0
25,25,"0,00906",65.0
26,26,"0,01193",33.0
27,27,"0,01789",16.0
28,28,"0,01073",44.5
29,29,"0,00747",78.0
30,30,"0,65427",2.0
31,31,"0,01428",22.0
32,32,"0,01217",32.0
33,33,"0,0061",91.0
34,34,"0,00527",97.0
35,35,"0,01349",26.0
36,36,"0,00697",84.0
37,37,"0,00918",61.0
38,38,"0,01799",14.0
39,39,"0,00915",62.0
40,40,"0,01454",21.0
41,41,"0,00562",92.0
42,42,"0,00944",58.0
43,43,"0,00235",98.0
44,44,"0,00631",89.0
45,45,"0,00985",53.0
46,46,"0,00637",86.5
47,47,"0,08072",5.0
48,48,"0,00968",56.0
49,49,"0,00542",95.0
50,50,"0,00851",70.0
51,51,"0,00924",59.0
52,52,"0,00637",86.5
53,53,"0,01493",19.0
54,54,"0,00785",74.5
55,55,"0,00846",71.0
56,56,"0,01289",28.0
57,57,"0,01121",41.0
58,58,"0,00765",76.5
59,59,"0,00877",68.0
60,60,"0,00651",85.0
61,61,"0,00618",90.0
62,62,"0,01073",44.5
63,63,"0,00152",100.0
64,64,"0,00741",79.0
65,65,"0,01183",34.0
66,66,"0,00765",76.5
67,67,"0,01887",13.0
68,68,"0,01042",49.0
69,69,"0,01179",35.0
70,70,"0,00912",63.0
71,71,"0,01265",29.0
72,72,"0,01794",15.0
73,73,"0,00986",52.0
74,74,"0,00536",96.0
75,75,"0,00556",93.0
76,76,"0,01142",38.0
77,77,"0,00547",94.0
78,78,"0,01139",39.0
79,79,"0,00632",88.0
80,80,"0,00898",66.0
81,81,"0,01107",42.0
82,82,"0,01077",43.0
83,83,"0,00979",54.0
84,84,"0,01069",46.0
85,85,"0,00737",80.0
86,86,"0,01044",48.0
87,87,"0,00882",67.0
88,88,"0,0171",17.0
89,89,"0,01913",12.0
90,90,"0,00707",83.0
91,91,"0,01148",37.0
92,92,"0,01384",24.0
93,93,"0,01362",25.0
94,94,"0,0087",69.0
95,95,"0,00923",60.0
96,96,"0,02313",8.0
97,97,"0,00785",74.5
98,98,"0,02018",11.0
99,99,"0,01045",47.0
