,Number,Score,Rank
0,0,"0,0117",43.0
1,1,"0,01043",45.0
2,2,"0,00646",56.0
3,3,"0,01645",12.0
4,4,"0,01572",16.0
5,5,"0,01282",29.0
6,6,"0,00882",51.0
7,7,"0,0141",21.0
8,8,"0,00856",52.0
9,9,"0,25179",2.0
10,10,"0,02382",8.0
11,11,"0,0066",55.0
12,12,"0,01666",11.0
13,13,"0,01214",35.5
14,14,"0,01195",37.0
15,15,"0,01521",18.0
16,16,"0,01214",35.5
17,17,"0,00938",48.0
18,18,"0,00966",46.0
19,19,"0,0135",23.0
20,20,"0,01171",42.0
21,21,"0,01273",30.0
22,22,"0,01263",31.0
23,23,"0,01337",25.5
24,24,"0,07584",5.0
25,25,"0,09766",4.0
26,26,"0,0084",53.0
27,27,"0,00321",59.0
28,28,"0,01255",32.0
29,29,"0,01588",14.0
30,30,"0,0134",24.0
31,31,"0,01217",33.0
32,32,"0,01337",25.5
33,33,"0,014",22.0
34,34,"0,01995",9.0
35,35,"0,01178",41.0
36,36,"0,04098",6.0
37,37,"0,01573",15.0
38,38,"0,13483",3.0
39,39,"0,01215",34.0
40,40,"0,01421",19.0
41,41,"0,00416",58.0
42,42,"0,01092",44.0
43,43,"0,01188",38.0
44,44,"0,00929",49.0
45,45,"0,01303",28.0
46,46,"0,01907",10.0
47,47,"0,0056",57.0
48,48,"0,0008",60.0
49,49,"0,01633",13.0
50,50,"0,01412",20.0
51,51,"0,0118",40.0
52,52,"0,01184",39.0
53,53,"0,00884",50.0
54,54,"0,01336",27.0
55,55,"0,02403",7.0
56,56,"0,00943",47.0
57,57,"0,01547",17.0
58,58,"0,00791",54.0
59,59,"1,34937",1.0
