,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,0.0005623576819056422,0.0011673737607033,0.0004133529737872581,0.000472197415096145,0.0003648869996480018,0.5616886777724818,0.00076872840599444,0.00042279753954573566,0.000779665564481835,0.0003559469784042876,0.0007964517401432852,0.0004030752207387234,0.0004828935866248814,0.0002603155313843987,0.0142003053277802,0.2495057806621303,0.0004153964915357366,0.0003374912747284609,0.166217488564956,0.000384816507929444
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,0.0004148748720822169,0.0008612206345305909,0.0003049478430590139,0.00034835985794969026,0.0002691924591310714,0.3007361794679168,0.0005671232195533913,0.0003119154957416315,0.000575192020557451,0.0002625970301198953,0.3764907318593592,0.0002973655131318148,0.0003562508727567015,0.00019204569664300905,0.3164438465225407,0.0004902786401759652,0.0003064554318975354,0.000248981482670184,0.0002385457860681595,0.00028389529411486044
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,0.000454617207694205,0.0009437200139740904,0.0003341598786353732,0.0003817304844205011,0.00029497935965196707,0.5019731496841189,0.0006214499644143709,0.0673972779786988,0.000630291704487698,0.0002877521311009643,0.0006438618655304227,0.0003258512104289354,0.00039037740752633377,0.00021044243513555384,0.0114797100924172,0.0675927271614159,0.0003358118847563507,0.0002728323020649241,0.3451181666021756,0.00031109063135172484
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,0.0562750755465639,0.0003684341320184072,0.00013045808398398564,0.0001490299427901025,0.00011516176697265832,0.4353231413053156,0.0002426179108649961,0.00013343887771488034,0.00024606978089128774,0.00011234021223326664,0.0002513676557176062,0.0038670536735842,0.00015240575506699974,8.215802863235282e-05,0.1465956449549389,0.3517546418845838,0.0038709423824658,0.00010651541867229484,0.00010205097986832916,0.0001214517071207073
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,0.0005369090895776386,0.001114546138913,0.0003946473498472887,0.0004508288806175226,0.0003483746254089521,0.739910621785946,0.2496275939485948,0.0004036645169741906,0.0007443830534731026,0.0003398391704463707,0.0007604095977559844,0.0003848346999809382,0.00046104101410879,0.0002485353707357517,0.0022443454830832,0.00063449265320671,0.0003965983914871101,0.00032221864995392465,0.0003087133240382325,0.0003674022558502387
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.0017982540642539,0.5342134742795225,0.001321780939429,0.0015099481133598,0.0011668010435759,0.3183475198657912,0.002458166794668,0.0013519818761402,0.0024931406028584,0.0011382134914657,0.0783297545827538,0.0012889157154166,0.0015441513163077,0.0008324123193518818,0.0454083896974533,0.0021250878677911,0.001328315506689,0.0010791975924897,0.0010339645955292,0.0012305297351521
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.0536861051461392,0.001306731785263,0.0004626979700617859,0.0005285671067794402,0.00040844625476423854,0.6420057558662536,0.000860497191355695,0.000473270003364277,0.0008727399992009973,0.0003984389971803007,0.2794387571127763,0.00045119328575098463,0.0005405401592736172,0.0002913913182806992,0.0158955006159048,0.000743900757908202,0.0004649854376112341,0.0003777800998978491,0.00036194599664432,0.00043075489558920766
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.0012047884295424,0.0025009677027633,0.0008855625096972052,0.0010116301430077,0.0007817295813879262,0.6448542933675357,0.0016469146217835,0.000905796435388961,0.3316935874189081,0.0007625765858819486,0.0017063087641338,0.0008635435734347729,0.0010345454940607,0.0005576969077391354,0.0050361625876769,0.0014237594819161,0.0008899405178904759,0.0007230373051658874,0.000692732248469556,0.0008244263236153778
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.0019457053280422,0.0450374561657426,0.0014301628826952,0.0016337591821045,0.0012624751153796,0.5494432876216271,0.002659728858495,0.0014628402026796,0.0026975704106375,0.0012315434725366,0.002755649018742,0.0013946028121026,0.0016707669417613,0.0009006675514246106,0.3771193483756618,0.0022993384912129,0.0014372332642319,0.0011676884526263,0.0011187464900088,0.0013314293622871
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.0017326031854551,0.0035966353114577,0.0012735251996101,0.001454822743395,0.0011242033287052,0.4892658598607222,0.0023684237413854,0.4759082098028317,0.0024021207215189,0.0010966594544357,0.0024538383068893,0.0012418598232061,0.0014877772516362,0.000802022508826929,0.0072424926467734,0.0020475049006129,0.0012798212020912,0.0010397981151006,0.0009962164899123853,0.0011856054054333
