idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
uj0002,0.1078689384762049,0.0004819975059474,0.000170669505473,0.0001949658147653,0.0099358171251508,0.4569745561241135,0.000317400636294,0.0001745690767102,0.0052144958642194,0.0001469671168015,0.0003288473368848,0.0001664259191402,0.0001993821621028,0.0001074818032667,0.2994179335665737,0.0002743931953197,0.0001715132544857,0.117561252037388,0.0001335064086124,0.0001588870705451
uj0003,0.4864230270866692,0.0008115584994515,0.0167630266696441,0.0003282717485524,0.0002536695237395,0.3410591036046478,0.0005344201597256,0.0002939289440245,0.0005420236747515,0.000247454418972,0.0005536934278245,0.0002802179835802,0.0003357077293907,0.0001809714156218,0.1499151959525837,0.000462006809383,0.0002887837337932,0.0002346240096501,0.000224790085641,0.0002675245223528
uj0006,0.2475691044733871,0.0004351584646658,0.070828220383769,0.0001760196340618,0.0045531513489594,0.5274126394910585,0.0002865566146492,0.0399118064987071,0.0002906336268757,0.0001326853025474,0.0002968909599376,0.0001502531580766,0.0001800068142923,9.703705083936242e-05,0.0008762723233249,0.0885903985276598,0.0001548461217556,0.017794339628985,0.0001205326647503,0.0001434469116966
uj0007,0.0002645504864811,0.0005491688052572,0.0001944540526827,0.0002221363020337,0.0001716541560175,0.5708283453259384,0.0003616336725205,0.0001988970691941,0.0003667788509215,0.0001674484928866,0.0003746755883189,0.0559337243750349,0.0002271681126988,0.0001224604956634,0.051275548068018,0.3180540328904126,0.00019541538678,0.0001587663577565,0.0001521118968609,0.0001810296145217
uj0008,0.0004148748720822,0.0008612206345305,0.000304947843059,0.0003483598579496,0.000269192459131,0.3007361794679168,0.0005671232195533,0.0003119154957416,0.0005751920205574,0.0002625970301198,0.3764907318593592,0.0002973655131318,0.0003562508727567,0.000192045696643,0.3164438465225407,0.0004902786401759,0.0003064554318975,0.0002489814826701,0.0002385457860681,0.0002838952941148
uj0009,0.0005192845493295,0.2418014475743587,0.0003816926835244,0.2083335873456988,0.0003369389043043,0.4201889964697368,0.0007098485478332,0.0003904138537534,0.0007199479873871,0.0003286836335897,0.0007354484454475,0.0003722021430167,0.0004459069140033,0.0002403769660269,0.0678225329685118,0.0224976182461831,0.0003835796804077,0.0003116415230714,0.0331245096287361,0.0003553419350786
uj0013,0.0359131550290743,0.0005850427589293,0.0002071565871503,0.0002366471543104,0.0120599749820066,0.495284665886911,0.0003852570638896,0.0002118898396819,0.0003907383463988,0.0001783869136759,0.3804665965013537,0.0002020057732452,0.0002420076634394,0.0001304601163739,0.0011780921646672,0.0003330551507849,0.0477166114158192,0.0239233529740972,0.0001620484684373,0.000192855209753
uj0014,0.0003584681799264,0.008297502559904,0.0002634869104634,0.0531746154012295,0.0002325928547813,0.4260220982767327,0.0004900167303143,0.0002695072359725,0.0004969884912108,0.0002268941451399,0.4083898908503826,0.0078103095947201,0.0003078147425833,0.0001659350227522,0.0014984407156894,0.0910641093768512,0.0002647895264167,0.0002151297775163,0.0002061129258848,0.0002452966815277
uj0015,0.0008888740275585,0.020574865307748,0.0006533541452986,0.0007463648700182,0.0005767478375716,0.6443306092137943,0.0012150678052791,0.0006682824186634,0.0012323553011693,0.0005626170575626,0.0012588878729605,0.281582466719265,0.0007632714570039,0.0004114600409362,0.0224452923742288,0.001050427439319,0.0193862746911631,0.0005334455957233,0.0005110869996906,0.0006082488250452
uj0016,0.0387720360598172,0.000943720013974,0.0003341598786353,0.0003817304844205,0.0002949793596519,0.4157589572668421,0.0006214499644143,0.0003417949874836,0.0006302917044876,0.0002877521311009,0.4796115975170679,0.0003258512104289,0.0003903774075263,0.0002104424351355,0.059376483657571,0.0005372441702006,0.0003358118847563,0.0002728323020649,0.0002613969330686,0.0003110906313517
uj0019,0.0006466448639833,0.0013423418422056,0.0004753070618792,0.0005429712140206,0.0004195769202567,0.5913731152748419,0.0008839468038382,0.0004861671961616,0.0281477597588817,0.0004092969525294,0.0690439166500993,0.0004634888606952,0.0005552705470001,0.0002993320920137,0.0027030544049489,0.3005277746444112,0.0004776568657478,0.000388075074751,0.0003718094726047,0.0004424934991291
uj0021,0.0230762531928823,0.0682625356881757,0.0007685050374085,0.0008779085071719,0.0006783971934327,0.5816453902710484,0.0014292183433275,0.0007860643555259,0.0014495526869164,0.0006617759234866,0.2878801071422359,0.000749396659117,0.0008977948082804,0.0004839781249222,0.0043704608940156,0.001235560812398,0.0007723043415948,0.0006274631154431,0.0226318828065103,0.0007154500961058
