,Number,Score,Rank
0,0,"1,12853",1.0
1,1,"0,00387",75.0
2,2,"0,0228",5.0
3,3,"0,00887",40.0
4,4,"0,00975",36.0
5,5,"0,01102",25.0
6,6,"0,0167",9.0
7,7,"0,0103",31.0
8,8,"0,00916",38.0
9,9,"0,00328",76.0
10,10,"0,01469",12.0
11,11,"0,01338",15.0
12,12,"0,01033",30.0
13,13,"0,00529",71.0
14,14,"0,0121",17.0
15,15,"0,00598",69.0
16,16,"0,04998",3.0
17,17,"0,00609",68.0
18,18,"0,01777",8.0
19,19,"0,01107",23.0
20,20,"0,00285",78.0
21,21,"0,00997",33.0
22,22,"0,01102",25.0
23,23,"0,007",63.0
24,24,"0,01156",21.0
25,25,"0,00886",41.0
26,26,"0,0072",62.0
27,27,"0,0051",72.0
28,28,"0,00834",49.0
29,29,"0,00294",77.0
30,30,"0,00401",74.0
31,31,"0,00955",37.0
32,32,"0,00778",58.0
33,33,"0,01196",18.0
34,34,"0,00873",42.0
35,35,"0,01929",6.0
36,36,"0,00798",54.0
37,37,"0,01171",20.0
38,38,"0,00863",44.0
39,39,"0,00826",51.0
40,40,"0,01273",16.0
41,41,"0,00596",70.0
42,42,"0,01012",32.0
43,43,"0,00824",52.0
44,44,"0,00852",47.0
45,45,"0,01189",19.0
46,46,"0,00831",50.0
47,47,"0,00787",55.0
48,48,"0,0064",66.0
49,49,"0,01419",13.0
50,50,"0,01095",27.0
51,51,"0,01138",22.0
52,52,"0,00694",64.0
53,53,"0,00637",67.0
54,54,"0,00984",35.0
55,55,"0,00185",80.0
56,56,"0,03963",4.0
57,57,"0,45757",2.0
58,58,"0,00854",45.5
59,59,"0,00843",48.0
60,60,"0,01513",10.0
61,61,"0,01396",14.0
62,62,"0,00854",45.5
63,63,"0,01084",28.0
64,64,"0,00872",43.0
65,65,"0,00747",60.0
66,66,"0,01507",11.0
67,67,"0,00784",56.0
68,68,"0,00728",61.0
69,69,"0,00195",79.0
70,70,"0,00684",65.0
71,71,"0,0105",29.0
72,72,"0,00816",53.0
73,73,"0,00894",39.0
74,74,"0,01899",7.0
75,75,"0,01102",25.0
76,76,"0,00457",73.0
77,77,"0,0078",57.0
78,78,"0,00753",59.0
79,79,"0,00992",34.0
