idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
uj0002,0.0001068295733272,0.0443825031653591,7.20366532944556e-05,3.209014648559114e-05,9.634172417166228e-05,0.0949384455897656,7.281869562509485e-05,6.607414020544356e-05,0.0005663091670172,7.305509470736731e-05,8.121885348664221e-05,0.2763353356473145,5.3565956732335336e-05,7.433070244044688e-05,0.0001487007720316,7.561005064678886e-05,0.5804918375032374,0.0022047595644518,7.84748694733049e-05,4.966213022620594e-05
uj0003,0.0001910247260679,0.000171820149232,0.0001288106049086,5.738122179997068e-05,0.0001722711314442,6.971503565711903e-05,0.0001302089950485,0.4186921870670549,0.0010126320842618,0.0001306317063682,0.0001452295348152,0.000129584662767,9.578267414783806e-05,0.0001329126535834,0.0002658957005885,0.0001352002892357,0.4987484533948233,0.079361133281345,0.0001403229459545,8.880214089544556e-05
uj0006,0.0001000760362058,9.0014941151302e-05,6.74826501568036e-05,3.0061476064357924e-05,9.02512064407626e-05,0.2963702466620378,0.0059948897258092,6.189707439169333e-05,0.0005305083127918,6.843670788199794e-05,7.608437129321229e-05,6.788817170289612e-05,5.017963152323291e-05,6.963167442266797e-05,0.000139300227289,7.083014497188149e-05,0.4667476170451899,0.2292545674880167,7.351385607992219e-05,4.6522596578686665e-05
uj0007,0.0030614795207649,0.0001327685291267,9.953427829092092e-05,4.433950530207491e-05,0.0001331170112183,5.387006578439134e-05,0.0001006148395803,9.129577178105978e-05,0.0124379641550367,0.0001009414762433,0.0001122214816444,0.2885733880027655,7.401300033362394e-05,0.0001027040053072,0.0002054624048812,0.000104471702647,0.6942622823582856,0.0001324828027413,0.0001084300719117,6.861901635338172e-05
uj0008,0.0002144796118314,0.000192917009597,0.0001446265575628,6.442674951774259e-05,0.0128952737631842,7.82749652065442e-05,0.000146196648412,0.0001326557384999,0.4414677814507469,0.0001466712621526,0.0001630614784526,0.177971401225924,0.0001075433070591,0.000149232274454,0.0002985435855545,0.0001518007964292,0.3652253536271753,0.0001925018398259,0.0001575524362677,9.970567214574506e-05
uj0009,0.0003011967488257,0.0002709160818953,0.0002031011179096,9.047539449765564e-05,0.0240548110995527,0.0001099226394217,0.0002053060186697,0.000186290327589,0.2275369071330729,0.0002059725254504,0.0002289895377433,0.0002043216076081,0.000151024585356,0.0002095689912044,0.000419248974688,0.3450693430599243,0.3880294079400829,0.0121619250206043,0.0002212531119774,0.0001400180839257
uj0013,0.0001493489870074,0.0001343342600902,0.000100708079812,0.0236307373610876,0.0001346868518093,5.4505352102304806e-05,0.011894738865479,9.237241710998868e-05,0.1010316753991061,0.0001021318727619,0.0001135449025615,0.2477530003710771,7.488583101936815e-05,0.0001039151872208,0.0002078854101768,0.0001057037309049,0.5196591430883414,0.0944775450152376,0.0001097087809709,6.942823612327134e-05
uj0014,0.0001834165506703,0.0001649768580042,0.047193398455197,5.509582969934715e-05,0.0037861574282264,6.693840966715887e-05,0.0001250230021508,0.0001134432208941,0.2290793963870422,0.0001254288776299,0.0870373864964325,0.1485750730789499,9.196782043773147e-05,0.0218521042777514,0.000255305547318,0.0001298155019599,0.4390559656999723,0.0218891071162112,0.0001347341323643,8.526530942071017e-05
uj0015,0.000392125082775,0.000352702980535,0.0002644153463889,0.0001177890255947,0.0003536287320905,0.4258856370462563,0.0002672858849869,0.0002425295439303,0.0020786756145936,0.0002681536036046,0.0002981192253643,0.0002660042899148,0.0001966174212194,0.0002728358069716,0.000545816113699,0.0002775317399954,0.4974308937578207,0.0003519439411118,0.0699550066778078,0.0001822881653385
uj0016,0.0002387390315324,0.0002147375204759,0.0001609850185366,7.171394825507164e-05,0.0002153011493778,8.712851178288545e-05,0.0001627326996592,0.2216513725680034,0.3217390243091197,0.000163260996143,0.0001815050815954,0.0001619524211722,0.0001197073454015,0.0001661116801374,0.0003323113366203,0.0001689707232119,0.4536638141371817,0.0002142753915667,0.000175372921132,0.0001109832090943
uj0019,0.0003182256943228,0.0002862330307364,0.0002145839704993,9.559065742041768e-05,0.0002869843163452,0.4712629200140089,0.0002169135310873,0.000196822738206,0.0016869310834306,0.0002176177205711,0.0002419360598184,0.0002158734637732,0.0001595631550543,0.0002214175219173,0.0004429523113524,0.0002252284654469,0.5167609355183296,0.0002856170389061,0.0002337622349995,0.0064298914737735
uj0021,0.000510727963912,0.000459382179379,0.0104264528394622,0.0001534157131379,0.0004605879354701,0.0001863916726809,0.0003481296703993,0.0003158854804276,0.0531177053838292,0.0003492598408025,0.0003882889201983,0.6052701766076269,0.000256086691773,0.0003553582320998,0.0007109046696201,0.0003614745057514,0.3252587841965195,0.0004583935594815,0.0003751705548947,0.0002374233825334
uj0023,0.0002200702095898,0.0001979455593608,0.0001483963746639,6.610608881885424e-05,0.000198465113829,0.5648408398936792,0.0001500073912977,0.0001361135257831,0.014199538898267,0.0001504943762585,0.0001673118178118,0.0001492881287243,0.0001103465169597,0.0001531221435745,0.0003063253839546,0.0001557576163106,0.4181883876283693,0.0001975195678283,0.0001616591776475,0.0001023045872707
uj0024,0.0001048397266831,9.429971635059053e-05,7.069487228432929e-05,3.1492423698685216e-05,0.0063033356191421,3.826156662777895e-05,0.1925439024723064,6.484341914146389e-05,0.4517277173060677,7.169434383557647e-05,7.970604146264171e-05,7.1119696944341e-05,5.256821766138065e-05,7.29461916332018e-05,0.0001459310171502,7.420171023266862e-05,0.3482325986083104,9.409677731617248e-05,7.701316789756658e-05,4.8737105253327705e-05
uj0026,0.0073092006221729,0.0054955628231889,0.012692774655769,2.745774609843357e-05,8.243423264454733e-05,3.335965474888851e-05,6.230689088910021e-05,5.653595150299451e-05,0.0022890072562811,0.1083293970057367,0.0018739425675078,6.200813884568638e-05,4.5833397492795765e-05,0.2779486127568216,0.0001272349456217,6.469529748271536e-05,0.5833079548912746,8.204149178699684e-05,6.714656295112977e-05,4.249311118198801e-05
uj0027,0.0001000760362058,9.0014941151302e-05,6.74826501568036e-05,3.0061476064357924e-05,9.02512064407626e-05,3.6523043776203e-05,0.6599046398434399,6.189707439169333e-05,0.1546240445942879,6.843670788199794e-05,7.608437129321229e-05,6.788817170289612e-05,5.017963152323291e-05,6.963167442266797e-05,0.000139300227289,7.083014497188149e-05,0.1842428005291138,8.982122322777693e-05,7.351385607992219e-05,4.6522596578686665e-05
