year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0030225312076128524,0.03720474746396932,0.06155566948853485,0.0035487302276020222,0.0021445414716560816,0.0002564147497420548,0.02172224200983082,0.0014054214016920867,0.16501537048650025,0.035817183876953075,0.06391177087992911,0.007261592764778142,0.014271899347798501,0.000488858170765186,0.038959004324616,0.0004972721881683447,0.42643411096251377,0.09698871434810061,0.019167306726517775,0.0003266179027184015
1955,0.0027056930737954475,0.02880155126861766,0.03232825807210536,0.00015137941133337745,0.0027202832571612615,0.00267464916829018,0.03143922390390948,0.03365696566876691,0.3904790544393341,0.001456999641688677,0.028239719657194552,0.004157254080597825,0.0005883733394013524,0.0017338114700299746,0.04337454155451793,0.002507498624636259,0.3635744980444426,0.0007554335320631678,0.02554219369387708,0.003112618098236032
1956,0.00055281521971474,0.0217012628103633,0.08332345043762722,0.00016605815063735235,0.0035203276778044803,0.01705898454644676,0.00154513721508632,0.04981797385986432,0.23714168149719161,0.00037804108894268,0.0021872884642175202,0.00037501100142254,0.00027718987559269997,0.00682337331418572,0.0400526842670003,0.02829243123275992,0.4775316572707733,0.00049616812511996,0.02850147535512846,0.00025698859011998
1957,0.004449429563325468,0.03314036838931822,0.01856469276107058,0.00031692622671016684,0.012701293719774319,0.0011720457397766627,0.016818082973570094,0.008477054202786919,0.18099241998284152,0.0015623634135255048,0.125476400196308,0.013239868514427645,0.031093746305572958,0.0017977193429348662,0.09691906220006857,0.002091897962932931,0.40065588586629963,0.04459684869983464,0.0025713676541509627,0.003362526284769603
1958,0.009342894172589586,0.027050433445566114,0.005367680781166972,0.0007681570718997425,0.010940259554387058,0.0001738162603597983,0.024746742716068627,0.0016323217562342514,0.15686198499746587,0.0047951324080522965,0.05720208965595338,0.01731072247807504,0.004783267477141173,0.00110476275337852,0.16630218658575388,0.024009853264925895,0.45732517965966585,0.0013234771971085736,0.012156094698578656,0.01680294306562793
1959,0.0008773485857140571,0.015335560872168193,0.039322227135752355,0.0005229972584508941,0.07766055795317336,0.0013981724198387341,0.016319205724799557,0.014761984326150538,0.11174886976921104,0.01941404591008639,0.02573021252559458,0.010187185263860515,0.0075352310884795074,0.0029322528359964455,0.12389729816557393,0.019008439466549974,0.4665200210199326,0.02619137069349744,0.019653121578590897,0.0009838974065781581
1960,0.025553858200912737,0.010271008006969238,0.1228165064436596,0.003970501777477183,0.0036879073295724555,0.0035885017553005456,0.03527645796996441,0.009748782018662652,0.12157405936099391,0.006743869412507408,0.022940275807320748,0.00032025908532667654,0.04532441789552674,0.0012164549958946184,0.13601951236692394,0.013351677762196526,0.39509600604952494,0.01672080962138075,0.0024230277461594722,0.023356106393724634
1961,0.0007901993622593701,0.0037580627926349147,0.0013097742858460412,7.447093464658738e-05,0.004085108826822167,0.18804670918558988,0.014567672377211245,0.04001881265101191,0.09473034188100903,0.021519782029499026,0.0027084586692521584,0.014060963891659239,0.01354761770833259,0.00088666884712509,0.11494363574024558,0.010057813133979843,0.44115105161847346,0.017018967234605383,0.00587824301025638,0.010845645819539444
1962,0.005738629743998917,0.01052065734906749,0.01442908405257032,0.005437698016051002,0.01753302370557621,0.005096129839652946,0.007265279310627547,0.0015530051059613882,0.11671976586564874,0.05647382054781106,0.0008471600467650809,0.002660640320898569,0.04968328798383224,0.004534273415785437,0.0641000122747732,0.00522860225726868,0.6233643641352391,0.006112234844049219,0.002499886567235649,0.00020244461718634942
1963,0.02130239802053579,0.003360132439128306,0.009921149282015075,0.0021218112567095745,0.040346783416548376,0.00019781871958225437,0.007774471706080243,0.0036463622292703937,0.1393658388346137,0.04675031815871539,0.024412740798994494,0.12192475466945042,0.025692247223963113,0.0016265429855774243,0.014352009737534487,0.013917724669327792,0.5043585216463397,0.006223643243243876,0.0011640505617163837,0.011540680400652554
1964,0.003232307507918771,0.005755846358660244,0.007739101869978936,0.0001408114112187559,0.11371304609922367,0.002414080746733891,0.006827357239630743,0.0027726990159271316,0.13002268517071078,0.0568869523891454,0.025448244512437546,0.020336392333276863,0.009077777220592286,0.00045524343207544674,0.029773220084896947,0.0060301467319297895,0.5329934151005569,0.011834142568764996,0.004195767586234136,0.030350762620085993
1965,0.004214680144312599,0.0007952490923243319,0.008880823226616805,0.00015396939285401983,0.05769326990284652,0.002725196497807641,0.027560726349215064,0.015935391456736895,0.21152048096619885,0.01676012666886359,0.006480976217308144,0.012515257599454066,0.00926702404616888,0.004104922432419275,0.007239416817047697,0.02565429585352509,0.523669663893526,0.03339670782038622,0.030535398301827034,0.0008964233205605205
1966,0.02269427559279703,0.018999081074507134,0.00342031055993359,9.247048217941132e-05,0.0013080505204875281,0.10203814749941872,0.03849834177613254,0.023417827691203135,0.12194861575589765,0.00738877940807237,0.0004020743893709526,0.020857293380400505,0.017385763239386787,0.0021316130893083854,0.007585602700286995,0.0043844011389649815,0.4421320374444554,0.10140364965984161,0.06376855895182129,0.00014310564553314927
1967,0.0004605953643717385,0.0036193270973033003,0.004555733226667929,0.0018853248552062527,0.0032982982663969326,0.14261575660446543,0.001524220459092692,0.04938299535491358,0.10819115764448582,0.00016169662004425885,0.006864222904709043,0.13428256059071694,0.00011856030284747152,0.0018356342423911471,0.000329127110598,0.026694749102110452,0.4741171442996407,0.033937059355948325,0.0055326893670370175,0.0005931472310522727
1968,0.08275510591840254,0.004713385190004466,0.010410246888621863,0.000307041613583554,0.0020963910978651205,0.0008024400887533924,0.0016289794015008792,0.0027410124665648516,0.10103555158221321,0.00132466302797409,0.0013042046943684495,0.00027367139488789123,0.0016679043852886027,0.008795107251738061,0.005797239824610704,0.05335423495953081,0.5006771422137347,0.08315649078377088,0.11210120951351021,0.02505797770307494
1969,0.15016307142791982,0.03238761441528351,0.006021454399699444,0.004070423877749952,0.013317471561698387,0.0013705815994287341,0.0018735857140507225,0.01940643412962057,0.09359196200680645,0.004345272723540316,0.011126632357817743,0.007508264769922352,0.0008155736004845391,0.008494830281124171,0.009357174431486572,0.010089315009007817,0.5394081640631001,0.041897201672754326,0.03131994500260354,0.013435026955900108
1970,0.0384907776180181,0.06296409876785605,0.007051932077049151,0.00612550256075408,0.0028081214895717,0.0015203339638018816,0.047949752945224,0.01015974007850808,0.09077459965760412,0.0005601209970024801,0.007283979785938785,0.0005427097071092757,0.022328686108421862,0.00518703926438501,0.014884020031634828,0.015161283995126382,0.6012684577623539,0.010951734006051655,0.05378138023675616,0.00020572894683163877
1971,0.04205490481695145,0.04347168766043821,0.0018353017175131699,0.00017855359625804914,0.012264880081513042,0.006911176329049574,0.0032513708082867023,0.0032431840565968987,0.10301498614354011,0.002122507452720619,0.0028845886674711205,0.02767791460064961,0.017615556998371803,0.004368698448533539,0.06103650999844162,0.034242628192736844,0.5998398815429992,0.01924316781573642,0.014466174756457319,0.00027632631573391777
1972,0.0076116703249632005,0.009010326738441566,0.02426652246654812,0.08100693944653468,0.000905476059980149,0.00017003997595699065,0.019069453684203215,0.0024920538373430666,0.03725158646958803,0.0010447259545898788,0.01186395354549445,0.0024940393988407924,0.01184886190942194,0.004722999048700246,0.014919077317227396,0.09416757559956697,0.6391802003130925,0.00712382866663649,0.006355331263195521,0.02449533797967405
1973,0.02808770654524173,0.05721335251204549,0.018270446357043474,0.035070232262949044,0.038265458858785684,0.0006089100513551143,0.02762515988794123,0.030138468352736293,0.08660509224245042,0.025744138496357535,0.00044525379927612624,0.008456008473492023,0.0061825774990205825,0.0004074919337529968,0.0218837773234456,0.0390744601638047,0.5573675655485032,0.017851433657191294,0.00043021087199211533,0.00027225516261442713
1974,0.009239919944792063,0.020818678716378602,0.006811112484973663,0.06509855269686188,0.003751369567559892,0.0002050521075168775,0.041767581940650035,0.032075525308758714,0.0967570116050953,0.018295388189256294,0.0004271621165631356,0.013359827156613152,0.0009155221265637843,0.019202012009129292,0.00631610755656894,0.021143554963836096,0.5945249237109039,0.013231072873666355,0.0240334524002033,0.012026172524107875
1975,0.001280585291954576,0.020901308317203014,0.005275563719541274,0.00354249169518618,0.0027485020623760083,0.0048662873015222876,0.012193336216609434,0.04076266145398015,0.05152816764903203,0.0013483487394347605,0.025512588733590868,0.006222869836455325,0.0018127858746320553,0.14476277664063622,0.001629528231870868,0.003356532633416135,0.6339040213259651,0.022461954025986195,0.007858131727999911,0.008031558522606771
1976,0.00048152808722367647,0.0633240351616966,0.00159832188350633,0.00014464446851801738,0.010770437528106622,0.01905564933494261,0.0004938393173152313,0.010565848879021376,0.08343381143528536,0.00032929158959201025,0.00195980985096973,0.0003266522406818308,0.003946415503034257,0.035235413847718146,0.028507072007478627,0.0003408079048606449,0.6223613457904722,0.10441989248742416,0.010980199456933624,0.0017249832252181569
1977,0.01702030890008289,0.0023914563398673653,0.0138702818825766,0.012671693859846676,0.015384185811136916,0.014399309499642875,0.002661280917151494,0.011703156426299847,0.058978841980991896,0.0027456118499670297,0.0013775032370045236,0.000355564598573,0.016187266626613708,0.06397342318475756,0.0009637686513620294,0.09856643287823205,0.6048004775489582,0.03193551205588811,0.016627837255662286,0.013386086495384199
1978,0.0014030366565917626,0.017979061325773385,0.0019165969453050816,0.00015043727045235415,0.010559338632819115,0.00018277302826185272,0.10999051046638575,0.0003097528178768723,0.0902410645540044,0.017590188623082672,0.0006063066194313192,0.00033973419086676197,0.00025111497461065323,0.07021080032803559,0.021265725367867024,0.011589711851889995,0.6229475268416472,0.0031508385088441808,0.012861604269210989,0.006453876727042413
1979,0.04277371611547506,0.07625997657388052,0.009558824246201294,0.000733475120701696,0.0028330794493251752,0.00022145766791564986,0.003268867913339692,0.0020084490121461004,0.10883818818078221,0.00041496633797121456,0.0009343228135691582,0.0015909150534644083,0.00030426445950387684,0.06700901562812624,0.040727206076637185,0.017560945149448334,0.5398360112340049,0.035991693774427104,0.0004457516527567083,0.04868887354032272
1980,0.03701830986722309,0.03202716126749475,0.031279045745708285,0.017137484953725874,0.00027618276567336237,0.00011176620943609633,0.0009835900342917,0.00018941469999968511,0.028560624190247658,0.013622198841042646,0.005300686558130212,0.0008023279904105585,0.00015355749757929327,0.11718930929913196,0.00169462148727565,0.0002167512890170292,0.6339361812909068,0.07139944895355098,0.006804143301360722,0.001297193757792949
1981,0.004777620053385769,0.005352850311062036,0.011807640629374195,0.009343996069656984,0.018178752796782716,0.00012873185200810712,0.04894727185445799,0.07564251606271441,0.0944314964884775,0.00024121713964946179,0.0002681726661519343,0.00023928372800222843,0.0003322855695083109,0.13048505236673746,0.0264038660293963,0.005066759220562529,0.5446376803082376,0.0042987605978628335,0.019252069232191266,0.0001639770237797791
1982,0.004059394417592546,0.0025593928475376427,0.020824479206728672,0.004692477570805596,0.0038916895774179176,0.002808762049912437,0.010952998388766191,0.005583232313357465,0.06761283659580691,0.00030601668678533264,0.028371380498867248,0.003567471100583756,0.0002243796503088179,0.2029124508275151,0.0014732413004628817,0.0017275356486495265,0.5788713047847689,0.008289260960908856,0.03477408493754003,0.016497610635683387
1983,0.020116426390502568,0.0005702241625692334,0.008328991502790433,0.0001904326081331441,0.0005717208493981334,0.00023136516877519998,0.03203814520215253,0.0003921038769681667,0.0698963428278179,0.05590308099018323,0.00048197717346003336,0.0022697855804057667,0.0003178765435759,0.08874811516083557,0.016685443781233933,0.0004486928457061333,0.6071816396873607,0.0005689970036186666,0.09476392858487799,0.00029471005963373334
