,Number,Score,Rank
0,0,"0,0114",22.0
1,1,"0,0069",64.0
2,2,"0,00982",32.0
3,3,"0,00833",51.5
4,4,"0,00555",70.0
5,5,"0,00858",46.5
6,6,"0,00706",61.0
7,7,"0,00824",53.0
8,8,"0,01121",23.0
9,9,"0,01001",31.0
10,10,"0,00964",33.0
11,11,"0,01602",10.0
12,12,"0,00851",49.0
13,13,"0,00489",72.0
14,14,"0,00884",41.0
15,15,"0,00773",57.0
16,16,"0,00905",39.0
17,17,"0,00636",67.0
18,18,"0,00696",63.0
19,19,"0,00735",60.0
20,20,"0,01044",27.0
21,21,"0,01037",28.0
22,22,"0,00483",74.5
23,23,"0,01094",24.0
24,24,"0,0219",4.0
25,25,"0,00688",65.0
26,26,"0,00961",34.5
27,27,"0,48941",2.0
28,28,"0,008",56.0
29,29,"0,00217",79.0
30,30,"0,01398",13.0
31,31,"0,00961",34.5
32,32,"0,00767",58.0
33,33,"0,00822",54.0
34,34,"0,00546",71.0
35,35,"0,00736",59.0
36,36,"0,00559",69.0
37,37,"0,00355",76.0
38,38,"0,0151",12.0
39,39,"0,00858",46.5
40,40,"0,01757",7.0
41,41,"0,00839",50.0
42,42,"1,07703",1.0
43,43,"0,00891",40.0
44,44,"0,00597",68.0
45,45,"0,01676",9.0
46,46,"0,00917",38.0
47,47,"0,01778",6.0
48,48,"0,01329",15.0
49,49,"0,00941",37.0
50,50,"0,00483",74.5
51,51,"0,01295",17.0
52,52,"0,00686",66.0
53,53,"0,01324",16.0
54,54,"0,01371",14.0
55,55,"0,0101",30.0
56,56,"0,00868",44.0
57,57,"0,0022",78.0
58,58,"0,01086",25.0
59,59,"0,00833",51.5
60,60,"0,01574",11.0
61,61,"0,01276",19.0
62,62,"0,001",80.0
63,63,"0,01216",21.0
64,64,"0,00854",48.0
65,65,"0,00698",62.0
66,66,"0,01255",20.0
67,67,"0,0024",77.0
68,68,"0,01749",8.0
69,69,"0,03854",3.0
70,70,"0,00878",43.0
71,71,"0,00879",42.0
72,72,"0,01294",18.0
73,73,"0,00866",45.0
74,74,"0,01059",26.0
75,75,"0,00803",55.0
76,76,"0,01034",29.0
77,77,"0,01848",5.0
78,78,"0,00946",36.0
79,79,"0,00488",73.0
