year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.027498359084241534,0.006259688910625455,0.015980873920088335,0.022453658348929588,0.015374418715886634,0.020140402790910734,0.042817332514235106,0.0100472771473099,0.07420285635662181,0.02404440043041032,0.0022504943057776363,0.09640863436445078,0.0058942499983512175,0.009102535801283644,0.02533252485421389,0.0006678463550415818,0.0004849687529197512,0.5965684804712977,0.0038985565765303366,0.0005724403008731122
1955,0.2108820645767262,0.01656964438048745,0.034348481890789505,0.0033360256629453135,0.00584060553832375,0.0012945766936189086,0.00037779150835672514,0.016686129092773422,0.011437872077180188,0.001280617252017357,0.009430184500694518,0.0004382897335187082,0.010764739740407113,0.0003250905990467329,0.0010911853609936936,0.003391962958751194,0.005587371912411792,0.6486119920381832,0.01061771464428018,0.007687659838493049
1956,0.04547121990868316,0.0005575468231662,0.05479487780757723,0.00700329980374292,0.0011269537398143,0.05212773686837604,0.00040633764713006,0.00047875675203042003,0.019877303292152697,0.0026809228139892003,0.0250384885985789,0.0004714071521986,0.008177092478753359,0.00034965462748314,0.0028644089464646,0.0005376006565989,0.00039038847488111997,0.7064105710855848,0.07077463150278338,0.0004608010200099
1957,0.14568236845972493,0.0011125609830269334,0.012695761058483903,0.005706888225003693,0.019238902888255832,0.019794095885048903,0.006080058313003442,0.012328434878522027,0.06219656564671853,0.012024156540279883,0.011914495408701795,0.04257687801466608,0.004340189808224389,0.0012558712444521896,0.002353049122924767,0.002123519451980227,0.0029762585566193798,0.6082459545753232,0.004122929030554434,0.023231061908484545
1958,0.08919040820164112,0.00256530758990749,0.005465521536261716,0.004477508026034638,0.012486344452388574,0.012617510441722685,0.003782996855232708,0.0034427448144684057,0.13915378856229865,0.02287867670741557,0.006458503885866432,0.0004041470421804449,0.02072073632299086,0.0018073826882392618,0.0015976616790623,0.0023049945696522064,0.011994241986054817,0.6480210183119076,0.004644459662616647,0.005986046664056883
1959,0.00925327421936681,0.0013987487770085322,0.03337169035195141,0.009176945419848445,0.008741984499936408,0.01458885608438786,0.026301916565052947,0.0023946044909287736,0.08869950094201177,0.00854907276921031,0.06481370812823369,0.01568908205447108,0.055269446282175075,0.00792695932703284,0.01616599586858377,0.005283911334698585,0.001994006256820739,0.6099125102525995,0.0025295481492107327,0.017938238226469866
1960,0.033867465969790726,0.012632826876820815,0.009405022642222404,0.026722748141024603,0.013473090442492737,0.000801747834310332,0.03272061975127999,0.007179643060999251,0.10571325667607473,0.00984659441279912,0.009958812884690712,0.0037990855285782565,0.09616959937735003,0.0023002403457328827,0.000981490762181644,0.00488781794247494,0.005844564539321096,0.5794353319180667,0.014665371044287348,0.029594669849500734
1961,0.009794447746815685,0.009798601866946328,0.003264048545961811,0.010623631143844976,0.017073412574602653,0.0005569060205043984,0.0033311934007806687,0.00022313048574597528,0.07807594338261141,0.13502068964110292,0.0074832145196381235,0.011556149338516739,0.017597724537838085,0.005669360794320614,0.03229797858274868,0.0019646355751082355,0.0072868411834769945,0.6332508650315815,0.005683925041759122,0.009447300586094252
1962,0.005308024155103295,0.006738166712004086,0.010072294223822604,0.009061931968616726,0.020262290835151183,0.008783404777295082,0.035111379353559166,0.006029708755928091,0.03150987756068495,0.017121719334801947,0.016207804336827874,0.0013905754842484198,0.012013374040243368,0.0002765638822832645,0.0033775790289293384,0.003414669583181226,0.005061371497451425,0.7540790913870887,0.03548266890496316,0.018697504177815214
1963,0.00813215761429491,0.013754064623588145,0.01523103965168594,0.022307229333690223,0.06612944847943314,0.027976018488983102,0.02552377278522275,0.0003226916818480687,0.01469870466659944,0.011161762443613991,0.03205990723862022,0.0018810859974772844,0.017115898737932855,0.012355068374701225,0.007298399733014231,0.0016995117446765176,0.00557334740490649,0.6317870481393685,0.08253959067276131,0.0024532521875808098
1964,0.005550663221628588,0.11445546263650189,0.003684731145750546,0.004817931352069547,0.036101251557945156,0.02397772154354966,0.0017047414079714748,0.003577872238111052,0.029061820048591615,0.01661745702571294,0.012008832200959465,0.008459558749087263,0.014737219918250397,0.0026526107760383895,0.0025479795191191844,0.002133290779588679,0.039197225445639416,0.6355100469241279,0.03616007480470102,0.007043508704654914
1965,0.00287190930644337,0.0005046065303470148,0.0020743596779308174,0.0030567912807289606,0.041205793456058834,0.04432848107068603,0.0023076841471778484,0.0032664414409184464,0.003920124659747922,0.028684683294337498,0.1169135959014177,0.03640246279190114,0.0038600018995256363,0.0007122425016365953,0.012491612145949443,0.010784741094880094,0.0034398320551294174,0.6573120232169263,0.02544556657502062,0.0004170469532354418
1966,0.0072218136567859265,0.007646607041049682,0.006415039583395557,0.006532035003312466,0.07317665351612539,0.03271153013449625,0.007411908622445222,0.0013479275576626308,0.007731741907618913,0.0022478051334261233,0.005421466731339787,0.06572151950279785,0.01845459093563146,0.00809199052080199,0.0944826252360595,0.002328165420254121,0.032920682568226146,0.5909224906642719,0.016628742785008456,0.012584663479289665
1967,0.0021587119377308233,0.028407963809956985,0.015899560996261095,0.0001422273226232155,0.07077176683617682,0.004945559764158344,0.002525091160579961,0.005029252492799614,0.026985770725670686,0.0009005329839383615,0.004884936487378931,0.024700791401371467,0.0006409951071822154,0.003148545352651979,0.13692434522071067,0.0009322686582787001,0.0032939930129591735,0.6235366625460235,0.04396633260981415,0.00020469157373247357
1968,0.0005931884900443375,0.027146167038305778,0.00039849833752162085,0.00023422273029949177,0.05085338989415269,0.0017609657157271813,0.0010227988588092961,0.04326152164845503,0.0052409306897828745,0.003485973350061146,0.014276255093958691,0.07839083425619586,0.04354250157401195,0.010681397764114087,0.09331398108987386,0.0022326127231686917,0.04494765044842231,0.5637861503957077,0.0026148791834448124,0.012216080717941774
1969,0.005541003741944123,0.005020375061149448,0.038343270731684996,0.025989300818022126,0.07497467859687341,0.00881980531554436,0.00046158619240942644,0.0031663524031007822,0.012790856889485806,0.006345007490217129,0.014313892661845108,0.022886717370861613,0.01591115704839843,0.008305658945859795,0.024141558356213556,0.012526865634429148,0.01629370298057835,0.6718393087841954,0.006078194244743723,0.026250706732442366
1970,0.0014118311893915748,0.007577159291464087,0.02299846225610809,0.03987161924781575,0.03559377887163475,0.002175802089726997,0.017385780065980662,0.0028688854369875475,0.00971014142129117,0.002066848230179046,0.025504318532234595,0.0018000935411945688,0.06092372049136,0.01344685519739731,0.05270100789494344,0.0010689283988559151,0.0037658577630592708,0.6696703857813001,0.0010428377745432178,0.028415686524530963
1971,0.0021865818524857607,0.0038644023969441384,0.007163175264887247,0.0005665333108851949,0.04660546135878541,0.0020150532682842,0.049913872354460175,0.016006962255348152,0.006383804958884189,0.0012480640267456483,0.06105929132027467,0.026094563098188958,0.03463280519025483,0.0021887890598955204,0.008731317818048406,0.012746835842701846,0.000413630081959827,0.6934667269192608,0.022896475648165424,0.0018156539735387346
1972,0.0048655069508902,0.0053270669852552065,0.0356832118937379,0.0007392073638716803,0.015658395323289033,0.010058966553030688,0.02100147995416188,0.01198897549423056,0.009920220630451492,0.006269439856359259,0.008235801172684796,0.0037412710706703537,0.014439123540201737,0.060130902205885815,0.03858394587990177,0.004603852884496591,0.01916545502863027,0.7033763889413315,0.019218016652902507,0.00699277161801592
1973,0.062322398316584204,0.0017175622924582214,0.03732539632925438,0.03184158823640934,0.018415625216122875,0.004901257598385752,0.018427865459085802,0.02066305563091265,0.0283375358599497,0.009219510054957905,0.04180611026169012,0.025072297615253165,0.002405901294815069,0.0008125876383036782,0.026369036408458422,0.0015648803036204999,0.01749327497481501,0.6067513770220746,0.0107388686161989,0.03381387087064882
