idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
uj0002,0.000155120663528,0.0001066573579792,0.2036527540135681,6.12499836850967e-05,0.0002155835231395,9.707561133126824e-05,7.77314085376669e-05,9.158500804709162e-05,0.0002124538745262,0.0001137033177143,0.0001273119139331,9.017904738567808e-05,0.0001267243847277,0.0025491874186866,0.096958477821441,0.0001028417045857,7.468037048427264e-05,0.6949833920929619,0.0001151403637715,8.815011996537273e-05
uj0003,0.02367283718951,0.0002009198022713,0.0001963068131055,0.0001153819562408,0.0004061135552465,0.0001828698273009,0.0001464294590598,0.0001725266972337,0.0004002179621766,0.0002141928934449,0.0002398285974719,0.0609594974876036,0.000238721817274,0.0001260029394808,0.2574671656655065,0.0001937319219422,0.0001406819515833,0.6545436173827857,0.0002168999829052,0.0001660560978557
uj0006,0.0001751164726962,0.0001204060109829,0.0001176415665733,6.914540494921715e-05,0.0002433732894445,0.0001095891305163,8.775136575126626e-05,0.0001033907617225,0.0058443998356654,0.0001283602292508,0.0001437230398138,0.2046682297610698,0.0001430597752318,0.0365051478255303,0.131875136413706,0.0001160985012797,8.430703403026453e-05,0.6192356279644057,0.000129982517545,9.951309983468358e-05
uj0007,0.0001972234887235,0.0001356062806868,0.0001324928478816,7.787444426742132e-05,0.0002740971678298,0.0001234238579263,9.882925476546014e-05,0.0001164429959942,0.0002701180705003,0.0001445646536641,0.0001618668928491,0.0001146554297194,0.0001611198965626,8.504283692027809e-05,0.075934262830574,0.0001307549832715,9.495010446121858e-05,0.7163453064223783,0.2052892917298738,0.0001120758111496
uj0008,0.0003174497622543,0.1119771879360137,0.0002132597051833,0.000125346245411,0.2645986250512755,0.0001986623125309,0.0306387795848918,0.0001874259584079,0.0004347804504214,0.0002326904124507,0.0002605399944213,0.0001845487022928,0.0002593376336118,0.0001368844478743,0.0003045224317128,0.0002104624485742,0.0001528311271761,0.5891506379481212,0.0002356312838911,0.0001803965634832
uj0009,0.0004142509970863,0.0002848293443609,0.0002782898461891,0.0001635685809743,0.0005757175568027,0.0002592412117904,0.0002075823604625,0.0002445785109397,0.3187593894829593,0.000303645637299,0.0600009930691722,0.0532728288279105,0.0003384185029556,0.0001786251739956,0.0003973816835659,0.0002746396108536,0.0001994345384572,0.5367876936962142,0.0268234857537068,0.0002354056143032
uj0013,0.0002141176067159,0.0241319569029556,0.000143842154294,8.454515097966623e-05,0.0002975762672243,0.0138395589567364,0.000107294945652,0.0001264174758417,0.0002932563213467,0.0001569480281411,0.0001757323730946,0.0001244767870571,0.0001749213892806,9.23275864733452e-05,0.2160680097935773,0.0001419554246072,0.0001030835082384,0.6509308236840831,0.0926714794447373,0.0001216761989629
uj0014,0.0002816771153074,0.0001936746287608,0.0001892279841092,0.0001112212797744,0.1851991078672454,0.0001762755363766,0.000141149208801,0.0001663053798597,0.0003857860916231,0.0002064690919072,0.0002311803717529,0.0001637523547866,0.0047376168869032,0.0001214592700712,0.0047777099192447,0.0092017527132397,0.0407031394200189,0.5588207026586515,0.1940317241110951,0.0001600681104704
uj0015,0.0006258315068125,0.2307705161826663,0.0004204276030622,0.0002471119495628,0.020899351210223,0.0003916497952783,0.0003136059595503,0.000369498055797,0.0108719330037586,0.0004587339754508,0.0005136376103599,0.0003638257329791,0.0005112672344245,0.0002698587633647,0.080718679684234,0.0004149129940539,0.000301296601797,0.6507176903628313,0.0004645317117346,0.0003556400620583
uj0016,0.0003308972981206,0.0002275172809176,0.0002222936307844,0.0001306560560687,0.0692967372578103,0.0478633676213529,0.0001658135833049,0.0001953655368787,0.0110434848588642,0.0002425474450878,0.0002715767672786,0.000192366396896,0.0002703234730867,0.0001426830300161,0.2068280112482416,0.0002193778791784,0.0001593052289351,0.6617640241432362,0.0002456128952139,0.0001880383687263
