,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,0.0004314098958857745,0.00029662740382092585,0.0002898170298078736,0.0001703438373948285,0.02131031599931,0.00026997937234782813,0.00021618073376945436,0.00025470932039405324,0.00059086070034358,0.0003162230958880259,0.0279684054393853,0.0002507991685885822,0.0003524363058937264,0.000186024097124802,0.1177747661816604,0.0002860155962395585,0.00020769541673288364,0.5590222466065989,0.2695599873302187,0.0002451564685946147
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,0.0003174497622543066,0.1119771879360137,0.0002132597051833008,0.00012534624541109805,0.2645986250512755,0.00019866231253090508,0.0306387795848918,0.00018742595840791056,0.0004347804504214377,0.0002326904124507005,0.0002605399944213354,0.00018454870229287304,0.00025933763361184577,0.0001368844478743161,0.00030452243171288814,0.00021046244857422504,0.00015283112717613751,0.5891506379481212,0.00023563128389112475,0.00018039656348326256
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,0.00032403407075908724,0.000222798285517872,0.00021768298047761508,0.00012794608465445354,0.0004503359191658667,0.00020278281948825084,0.00016237440042763892,0.0001913134092070492,0.0522969518808103,0.00023751670512391,0.000265943922554473,0.0001883764751707742,0.005450031976806,0.00013972360399121074,0.0003108386110755219,0.000214827705237968,0.00015600103753711907,0.5547025271602564,0.00024051857394766555,0.3838974743777907
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,0.00014110961171699945,9.702368484582704e-05,9.479608357428878e-05,5.5717666614519e-05,0.016002735662107,0.0046044857991703,7.071043036755157e-05,8.33127233386925e-05,0.0001932642825290977,0.0452652172626264,0.00011581264760907874,0.0362114609814761,0.00011527818613786524,6.084651364195046e-05,0.00013536328328921018,9.35526748812834e-05,6.793497295745277e-05,0.5576930687142052,0.3388181207323064,8.018808660443055e-05
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,0.0004533164526719889,0.0003116898424161475,0.0003045336445208082,0.0001789937246196211,0.0006300099273783702,0.0002836886509430743,0.000227158172084082,0.00026764320124473217,0.0006208640071945805,0.00033228058384379065,0.00037204962829880735,0.0002635344958979859,0.0003703326639101145,0.0001954702120288229,0.2906004869119022,0.0003005391780129906,0.00021824197925795856,0.7034750813269373,0.0003364801315129098,0.0002576052653236487
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.0014931249669828,0.0010266379764584,0.0010030670301951,0.0005895660693263953,0.0737557603020044,0.0009344081933846856,0.0007482091951300758,0.000881558001405447,0.4321288645688601,0.0010944593624529,0.0012254498721483,0.0247615734219705,0.0012197945680422,0.0006438360049835929,0.0014323212673651,0.0009899101336443253,0.0007188412115930844,0.4533958308605335,0.0011082917513676,0.0008484952421510666
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.0004668632186983812,0.0003210042834498372,0.0451391615646419,0.0001843427166831609,0.0006488369455247303,0.000292166313194282,0.0002339464953184753,0.00027564136633326133,0.0006394177115441534,0.0003422103521059232,0.0676214588411292,0.0002714098777306335,0.00038139956854229857,0.0076722328043585,0.1797499607374687,0.00030952039610535964,0.00022476385379553143,0.694613824095743,0.00034653539773426027,0.0002653034598981819
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.0007364646002563204,0.0005063759187338839,0.0004947498540029846,0.0002907958470807222,0.0010235234273748,0.0004608847697509477,0.00036904451937002736,0.0004348170953297572,0.2838530847473356,0.0005398279411899563,0.0595303581338475,0.0004281420319762725,0.000601647912139134,0.0003175637917293721,0.0007064739609439485,0.0004882603847534628,0.0003545591408959073,0.6478982660185022,0.0005466505883212596,0.0004185093164659081
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.0714661898708042,0.0010026803839788,0.0009796594885979977,0.0005758079735295956,0.0020266897085815,0.000912602872307458,0.0240667184823495,0.0942048638874243,0.0019972680415466,0.00106891909218,0.0011968528113398,0.0008477686263059563,0.0011913294792376,0.0006288114676249323,0.0013988966619926,0.0009668096209834422,0.0007020663550225819,0.7928549417042221,0.0010824286888892,0.0008286947830812616
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.0009942470651091054,0.0006836211419637344,0.0006679256411434071,0.0003925822332876522,0.0172921005644279,0.0165325232081439,0.0004982200504281484,0.0005870148011736251,0.4309402659949343,0.0007287822741313066,0.0008160066744338574,0.0005780032856896362,0.0008122409015520381,0.00042871968021539376,0.0009537588935029026,0.0006591646827033039,0.00047866439896862686,0.52465316661644,0.0007379930316941446,0.000564998860056853
