,Number,Score,Rank
0,0,"0,02832",13.0
1,1,"0,01898",26.0
2,2,"0,42624",2.0
3,3,"0,01237",46.0
4,4,"0,01225",49.0
5,5,"0,01372",39.0
6,6,"0,12702",4.0
7,7,"0,04758",6.0
8,8,"0,01805",28.0
9,9,"0,01173",53.0
10,10,"0,01241",45.0
11,11,"0,01209",51.0
12,12,"0,01114",54.0
13,13,"0,01759",29.0
14,14,"0,33935",3.0
15,15,"0,01477",36.0
16,16,"0,01207",52.0
17,17,"0,01515",35.0
18,18,"0,03764",8.0
19,19,"0,0242",19.0
20,20,"0,0293",11.0
21,21,"0,02879",12.0
22,22,"0,05949",5.0
23,23,"0,01273",43.0
24,24,"0,01625",32.0
25,25,"0,00912",57.0
26,26,"0,0227",20.5
27,27,"0,02736",14.0
28,28,"0,01264",44.0
29,29,"0,01229",48.0
30,30,"1,33386",1.0
31,31,"0,01274",42.0
32,32,"0,0227",20.5
33,33,"0,01233",47.0
34,34,"0,00479",59.0
35,35,"0,00678",58.0
36,36,"0,01455",37.0
37,37,"0,0139",38.0
38,38,"0,02624",15.0
39,39,"0,0096",56.0
40,40,"0,02147",22.0
41,41,"0,01612",33.0
42,42,"0,03617",9.0
43,43,"0,0174",30.0
44,44,"0,03264",10.0
45,45,"0,01992",24.0
46,46,"0,04188",7.0
47,47,"0,0121",50.0
48,48,"0,02515",18.0
49,49,"0,01333",41.0
50,50,"0,01523",34.0
51,51,"0,01954",25.0
52,52,"0,0099",55.0
53,53,"0,01847",27.0
54,54,"0,00392",60.0
55,55,"0,02087",23.0
56,56,"0,01337",40.0
57,57,"0,01645",31.0
58,58,"0,02532",16.0
59,59,"0,02523",17.0
