idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
uj0002,5.2821899739306776e-05,1.251607147066028e-05,6.333728029804677e-05,4.7046030476108646e-05,4.739163992856057e-05,7.839022623065712e-05,5.454773367462558e-05,5.810382965100917e-05,0.3005442276961293,0.0003007615026956,6.249811154963429e-05,6.322016543186551e-05,3.973317096806559e-05,0.153621658383492,7.344343274232215e-05,2.916007352166049e-05,2.493168561490813e-05,4.160154663924209e-05,0.1799463562350517,0.0002238691174154,2.6986119865148364e-05,4.6387148007026416e-05,4.351037162060535e-05,4.255577371334118e-05,6.793069763019974e-05,4.829414152016099e-05,0.2249119223404166,7.62420295187278e-05,0.0867368982938958,7.106299349673576e-05,4.280387958078037e-05,4.454874074427317e-05,6.613002075304103e-05,4.749278876720529e-05,0.0446668911301434,5.185342279016065e-05,0.0074853086190326,5.115765001553016e-05,4.877995347487305e-05,3.762805229270941e-05
uj0003,9.930945823523572e-05,2.353123009810693e-05,0.0001190792270542,8.845035528368246e-05,8.910012910199207e-05,0.0001473799870191,0.0001025541660925,0.0001092399151206,0.1366482464812592,0.0005654560331629,0.000117501521705,0.0001188590416014,7.470158593842303e-05,0.0001173140929273,0.0001380796138073,5.482330468665098e-05,4.687359227001251e-05,7.821428382699139e-05,0.2777790705737663,0.0004208921086869,5.073609538667811e-05,8.721160277064931e-05,8.180302970134712e-05,8.000830816594672e-05,0.0560058837526496,9.079690533610356e-05,0.287813759297466,0.0001433412028652,9.44163258121933e-05,0.0001336041948427,8.047476733159529e-05,8.375524792198246e-05,0.0001243298057525,8.929029712730934e-05,0.23764234368848,9.748864297475304e-05,0.0001034455368513,9.618053369348152e-05,9.171027123670092e-05,7.07437919892794e-05
uj0006,5.961375868616779e-05,1.4125392460952088e-05,7.148121067512901e-05,5.30952260669609e-05,5.3485274107637406e-05,8.846966983262506e-05,6.156150097223206e-05,6.557484105366103e-05,0.386707142177722,0.0059298840115667,7.053414130595202e-05,7.134903713715423e-05,4.484207644209192e-05,7.042163103631925e-05,8.288681585086144e-05,0.0028281347294194,2.8137410756178147e-05,4.695068853189413e-05,0.1136367159337559,0.0002526542893904,3.045600490434133e-05,5.235162425202682e-05,4.9104950918796535e-05,4.802761046783164e-05,0.1454283778931059,5.4503819679854194e-05,0.1140699163937329,8.604525721158338e-05,5.667649550227483e-05,8.020029886730296e-05,4.830761787731782e-05,5.0276833919427006e-05,7.463304270651727e-05,5.359942870048832e-05,0.2265093664406607,0.0028537459977333,6.209657549848496e-05,5.7735519131809e-05,5.505209751117023e-05,4.246628084712501e-05
uj0007,6.711817541368683e-05,1.5903552969582054e-05,8.047954939619037e-05,5.977906401695345e-05,6.021821285424972e-05,9.960658327009442e-05,6.93111072350962e-05,7.382966250684478e-05,0.6210662318813189,0.0003821627657323,7.941325917308956e-05,0.0032274300365963,5.048697513603728e-05,7.928658566382793e-05,0.0158288174337946,3.705226315907015e-05,3.167945978313762e-05,5.286102769104928e-05,0.0114990830242864,0.0002844594148744,3.428992777205967e-05,5.894185465199083e-05,5.528647718388209e-05,5.4073516837785e-05,8.631617760852807e-05,6.136497698873035e-05,0.1536062849458892,9.687697595862008e-05,0.1920368684132274,9.02962310419582e-05,5.438877269215854e-05,5.6605881471316895e-05,8.402814656267431e-05,6.034673768066741e-05,0.0001082219360673,6.588757965553141e-05,6.991353906801418e-05,6.500349560391284e-05,6.198227421119594e-05,4.7812104954985386e-05
uj0008,0.0001078466811897,2.5554112523527395e-05,0.0001293159751815,9.605406611730998e-05,9.675969830052773e-05,0.0001600496343072,0.0001113703231475,0.0001186308183386,0.2191907443468255,0.000614065947182,0.0001276026410356,0.010242707415429,8.112337199532914e-05,0.1568886726888285,0.0001499497465167,5.953623720618891e-05,5.090312092720588e-05,8.493804197779023e-05,0.0842155302712801,0.1066501952790418,5.509766744492867e-05,9.470882317952588e-05,8.88352974765161e-05,8.688629116138474e-05,0.0001386943734791,9.86023393623403e-05,0.4187490373702612,0.0001556636526014,0.0001025329064313,0.0001450895943132,8.739284989022794e-05,9.095533981483012e-05,0.0001350179243916,9.696621428363074e-05,0.0001738929368217,0.00010586933798,0.0001123383213599,0.0001044487759598,9.959422354781242e-05,7.682534288679186e-05
uj0009,0.0001405376320479,3.330018525858564e-05,0.0001685147909744,0.0001251703886645,0.0001260899151166,0.0002085645693269,0.000145129375544,0.2373823118393906,0.4240156248893491,0.1260037237524001,0.0001662821035972,0.0001682031958585,0.0001057138381839,0.0001660168640413,0.0133747210009075,7.758311804958444e-05,6.633309435244517e-05,0.0001106848273739,0.0240777388389242,0.0005956248413159,7.17991098905439e-05,0.0001234173698889,0.0001157634357579,0.0001132236382477,0.0594876662938026,0.0001284911054795,0.1041749028589921,0.0002028490899413,0.0001336131229805,0.000189069777527,0.0001138837472418,0.0001185261144679,0.0001759451396065,0.0001263590311146,0.0002266041133688,0.0067276198284875,0.000146390797547,0.0001361097391385,0.0001297836538746,0.000100112971966
uj0013,0.0888849435450358,1.7261656658973612e-05,8.735220063108034e-05,6.488397155208598e-05,6.536062205063145e-05,0.0001081126113561,7.52300154584246e-05,8.013443837855457e-05,0.284696082834583,0.0004147980305113,8.619485322794405e-05,8.71906805714976e-05,5.479837318209756e-05,8.605736227678087e-05,0.0001012901949965,4.02163872634691e-05,3.4384766659638776e-05,5.7375160908296655e-05,0.2755014929534585,0.0617940468393788,3.721815880982054e-05,0.0444700221324217,6.0007734677758045e-05,5.869119207401885e-05,9.368725497020516e-05,6.660531553491705e-05,0.1325651871422784,0.0001051499058327,6.926039107929949e-05,9.800719001765298e-05,5.903336959424567e-05,6.143981113561864e-05,9.120383466694712e-05,6.550012241448219e-05,0.1094246559654331,7.151413148243484e-05,7.588389270712218e-05,7.055454997345364e-05,6.727532762159475e-05,5.189507913447457e-05
uj0014,9.574283537493458e-05,2.268612405594008e-05,0.0001148025881424,8.527372875925533e-05,8.590016645031592e-05,0.0001420869480659,9.887101204349817e-05,0.0001053166475341,0.3921188071741515,0.0005451481143582,0.0001132815448681,0.0001145903104809,7.20187358973159e-05,0.0001131008474509,0.0001331205906096,5.285436783766023e-05,4.5190163232078806e-05,7.540527794118091e-05,0.1061888075978823,0.3371016951869511,4.891394751814468e-05,8.407946509058557e-05,7.886513676587648e-05,7.713487127494337e-05,0.0001231284302952,8.753600427017223e-05,0.0350560876062709,0.0001381932137406,9.102543604185794e-05,0.0001288059028771,7.758457791819212e-05,8.074724256965096e-05,0.1258196743917485,8.608350473717273e-05,0.0001543765894259,9.398741329499912e-05,9.97303699066728e-05,9.27262837531126e-05,8.841656733648995e-05,6.820308307577706e-05
uj0015,0.0002116762060041,5.015636575097813e-05,0.0002538150891633,0.0001885302362824,0.0101151856145107,0.0003141376163713,0.0002185922385857,0.0002328427844423,0.4500674435569979,0.0012052586922643,0.0002504522404635,0.0002533457680927,0.0001592249980508,0.0002500527396178,0.0002943140492019,0.0001168548227218,9.991016313873476e-05,0.0001667122462455,0.3042479210750886,0.0008971234592067,0.0001081430144697,0.0001858898590535,0.0001743615892638,0.0001705361747242,0.0002722225519442,0.0001935318627248,0.0179532853463887,0.0003055290253896,0.0002012465880685,0.0002847747794934,0.0001715304234916,0.000178522704968,0.0002650065969808,0.0001903205562165,0.208771986929058,0.0002077951731899,0.0002204921782665,0.0002050069633394,0.0001954786846285,0.0001507890361375
uj0016,0.0001123935068079,2.66314761678173e-05,0.0001347679481333,0.0001001037140409,0.0001008390957394,0.0001667973410462,0.0001160657058222,0.0001236323041328,0.3601821219269667,0.0006399550218302,0.0001329823796683,0.0106745408660457,8.45435405341311e-05,0.0001327702570974,0.0001562716410931,6.20462902328676e-05,5.304920100795111e-05,8.851903734046579e-05,0.1351961639843693,0.1058765658889396,5.742058997787476e-05,9.870175554190624e-05,9.25806014757358e-05,9.054942488196608e-05,0.0001445417405327,0.0001027594227113,0.2256030915675577,0.0001622264459637,0.0001068557028356,0.0001512065844429,9.107734017162317e-05,9.479002498655391e-05,0.0001407102920265,0.0001010543184546,0.1582815559713102,0.0001103327986335,0.0001170745149249,0.0001088523455929,0.0001037931248218,8.006430613821104e-05
