,Number,Score,Rank
0,0,"0,00983",65.0
1,1,"0,00808",69.0
2,2,"0,00629",78.0
3,3,"0,01819",17.0
4,4,"0,65907",2.0
5,5,"0,00804",70.0
6,6,"0,01062",56.0
7,7,"0,01342",41.0
8,8,"0,00638",76.0
9,9,"0,02131",14.0
10,10,"0,01309",42.0
11,11,"0,00936",67.0
12,12,"0,01032",60.0
13,13,"0,01366",37.0
14,14,"0,01517",25.0
15,15,"0,01441",33.0
16,16,"0,01247",47.0
17,17,"0,30759",4.0
18,18,"0,01505",28.0
19,19,"0,02184",13.0
20,20,"0,02431",10.0
21,21,"0,01492",29.0
22,22,"0,016",24.0
23,23,"0,02525",8.0
24,24,"0,01693",20.0
25,25,"0,01185",52.0
26,26,"0,00801",72.0
27,27,"0,02462",9.0
28,28,"0,01454",32.0
29,29,"0,00833",68.0
30,30,"0,01635",21.0
31,31,"0,0104",58.0
32,32,"0,01483",30.0
33,33,"0,01015",61.0
34,34,"0,01371",36.0
35,35,"0,00146",80.0
36,36,"0,00633",77.0
37,37,"0,01216",51.0
38,38,"0,01",63.0
39,39,"0,01035",59.0
40,40,"0,01615",22.0
41,41,"0,00509",79.0
42,42,"0,01422",34.0
43,43,"0,02323",12.0
44,44,"0,00987",64.0
45,45,"0,04952",6.0
46,46,"0,01417",35.0
47,47,"0,00687",74.0
48,48,"0,56898",3.0
49,49,"0,02329",11.0
50,50,"0,01507",26.5
51,51,"0,01126",54.0
52,52,"1,06378",1.0
53,53,"0,00649",75.0
54,54,"0,01352",40.0
55,55,"0,01245",48.0
56,56,"0,00802",71.0
57,57,"0,01715",18.0
58,58,"0,0128",45.0
59,59,"0,01463",31.0
60,60,"0,00788",73.0
61,61,"0,01115",55.0
62,62,"0,02834",7.0
63,63,"0,01242",49.0
64,64,"0,01283",44.0
65,65,"0,01261",46.0
66,66,"0,02128",15.0
67,67,"0,01299",43.0
68,68,"0,01178",53.0
69,69,"0,01353",39.0
70,70,"0,01001",62.0
71,71,"0,01707",19.0
72,72,"0,01042",57.0
73,73,"0,00975",66.0
74,74,"0,01611",23.0
75,75,"0,0122",50.0
76,76,"0,01507",26.5
77,77,"0,01842",16.0
78,78,"0,0789",5.0
79,79,"0,01365",38.0
