,Number,Score,Rank
0,0,"0,02874",8.0
1,1,"0,70064",3.0
2,2,"0,01546",33.0
3,3,"0,01991",17.0
4,4,"0,01309",42.0
5,5,"0,01988",18.0
6,6,"0,00495",58.0
7,7,"1,3632",1.0
8,8,"0,01896",22.0
9,9,"0,01035",47.0
10,10,"0,01702",29.0
11,11,"0,01415",38.0
12,12,"0,01528",34.0
13,13,"0,00911",54.5
14,14,"0,01438",37.0
15,15,"0,01007",49.0
16,16,"0,00925",53.0
17,17,"0,01037",46.0
18,18,"0,01922",20.0
19,19,"0,01761",26.0
20,20,"0,02159",15.0
21,21,"0,02422",12.0
22,22,"0,02338",13.0
23,23,"0,00999",50.0
24,24,"0,00119",60.0
25,25,"0,01931",19.0
26,26,"0,01406",39.0
27,27,"0,01574",31.0
28,28,"0,01714",27.0
29,29,"0,00875",56.0
30,30,"0,01018",48.0
31,31,"0,01712",28.0
32,32,"0,01486",36.0
33,33,"0,02433",11.0
34,34,"0,02464",10.0
35,35,"0,00964",52.0
36,36,"0,02775",9.0
37,37,"0,01377",41.0
38,38,"0,01508",35.0
39,39,"0,09801",5.0
40,40,"0,04616",6.0
41,41,"0,01901",21.0
42,42,"0,00829",57.0
43,43,"0,01296",43.0
44,44,"0,01832",23.0
45,45,"0,13078",4.0
46,46,"0,00242",59.0
47,47,"0,0231",14.0
48,48,"0,01805",24.0
49,49,"0,00911",54.5
50,50,"0,01079",45.0
51,51,"0,01558",32.0
52,52,"0,0177",25.0
53,53,"0,03451",7.0
54,54,"0,84289",2.0
55,55,"0,01626",30.0
56,56,"0,02038",16.0
57,57,"0,00989",51.0
58,58,"0,01398",40.0
59,59,"0,01225",44.0
