,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,0.0003641826536657467,0.0974649447085045,0.00042586226867827895,0.000394294645035584,0.00033747071230499405,0.0077029828550734,0.0004003387048809729,0.0003064253586880179,0.0003540191567464062,0.00035996037354632223,0.067412382929105,0.0002641656534782329,0.0003138834307983074,0.1047025467990332,0.00038534153187126674,0.00037544062199671753,0.7177616646726368,0.0001698366777939553,0.00037369325878274906,0.0001305629873794578
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,0.000277315765486656,0.00038770544906892513,0.2445290703609817,0.00030024527586558323,0.0002569753061277908,0.00018644310469626192,0.0003048476726733388,0.0399876027395588,0.0002695765228296044,0.0002741006072916368,0.0002201735673665523,0.0002011553808843288,0.00023901419523759555,0.00021977301812828876,0.000293427709444833,0.0002858884200985726,0.6942158371141273,0.00012932628129336713,0.0002845578477542082,0.0171369636610846
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,0.0330389625820811,0.000372881805944185,0.0003118844740809253,0.00028876561049072467,0.0002471500373856123,0.0001793145846980955,0.000293192037917703,0.00022441366345058843,0.0002592694554958049,0.00026362056479410813,0.0002117553870289258,0.00019346434743093945,0.00022987565684341583,0.000211370152506966,0.0002822087088912792,0.0002749576789309818,0.5529701122303196,0.4097775039374089,0.0002736779800773869,9.561910422273018e-05
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,0.0560922293657648,0.00017367341132739223,0.0001452632970829148,0.00013449545633092115,0.00011511258907836552,8.351755202004782e-05,0.0001365571089484037,0.00010452289668907834,0.00012075732865253284,0.0001227839011021626,9.862717849465316e-05,9.010794480433414e-05,0.00010706687445913346,0.2214264684271724,0.015395442940065,0.0001280642748167588,0.6900313722760533,0.0153219333855844,0.00012746824234257357,4.453554921077794e-05
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,0.00039038667269165135,0.0005457859201795837,0.00045650431842593866,0.000422665310898785,0.00036175272814763216,0.0002624621905680194,0.0004291442587257624,0.0003284735695191965,0.0003794918821097396,0.00038586058702995727,0.0003099456903506462,0.00028317315353365146,0.0003364682719755704,0.008304154886816,0.0004130679947628617,0.2162613273865989,0.7694067392741561,0.00018205692906461,0.0004005815939750753,0.00013995738047021262
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.0013918996044818,0.2584897985622402,0.0016276379925581,0.1440313385010379,0.0012898070412014,0.000935792753180416,0.001530087387122,0.0011711522535955,0.0013530549005955,0.0013757621252002,0.0011050922431224,0.0010096364142909,0.0011996568721325,0.0866176926533924,0.0014727684594618,0.0014349273585756,0.4913875237497676,0.0006491127522643716,0.0014282489675486,0.0004990094082301616
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.0004170611464455204,0.0005830785667309702,0.0090287391455539,0.0004515453304560757,0.0943379397794912,0.0002803957966653244,0.00045846697404049744,0.0003509176236375605,0.0004054219328959203,0.00041222580085863934,0.00033112376522031106,0.0942539909928953,0.00035945859085080275,0.0003305213706026631,0.0004412922456290488,0.0858403801893668,0.7109454710657375,0.00019449657702328837,0.0004279526697884421,0.00014952043611007998
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.0005877374185252792,0.0008216950788357501,0.0367963035619879,0.0006363337585657007,0.1931260911209047,0.00039514374115629626,0.0006460879851747514,0.0004945256109075288,0.0005713350243353423,0.0005809232773444673,0.0004666314007947949,0.00042632464142798105,0.0005065618460361247,0.0125021239136059,0.0006218847463296863,0.0006059061291381605,0.7491265035790136,0.00027409150208769934,0.00060308614105178,0.0002107095227763964
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.0011886121872184,0.0016617570263473,0.0013899209024164,0.0012868911128162,0.0011014302780142,0.0007991198988486422,0.0013066175965468,0.001000105063059,0.0011554407657312,0.0011748315923513,0.0009436931398977696,0.0008621786677872663,0.0010244465722281,0.000941976332685797,0.19599146328221,0.0012253557229877,0.7847460686225819,0.0005543096109346148,0.0012196527132734,0.0004261289120632109
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.0008127303059074913,0.0011362497464607,0.0009503779721892598,0.416979838769157,0.0007531184489039094,0.0005464094738653676,0.0008934181647848331,0.0006838359076072303,0.0007900488797681595,0.0008033076302842955,0.0006452634614715841,0.0005895267943175236,0.0007004797569687075,0.0006440895703861866,0.0008599496377003087,0.0008378542154441726,0.5698691579283215,0.0003790169952039533,0.0008339547023149078,0.00029137163894273386
