,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,0.0001263298193846538,0.00017159363055323533,0.0002058501712384196,0.3941961549700857,0.0002480555272534762,0.0002043806228676211,0.3537655107312319,8.395171987058394e-05,0.0175105393082337,0.00018888525229187271,0.00011763600119222824,0.00020071895652564207,0.2080846294487877,0.00032236523969362527,0.00025056678082243094,0.023354610713435,0.0003401260711070141,0.0001862509702995933,0.00020707639535695287,0.00023476766976835407
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,9.262869556453306e-05,0.00012581743758322364,0.0001509353289383936,0.0180306862550165,0.00018188152273930323,0.00014985781335799384,0.5346310070775785,6.15558412090624e-05,0.0678872067567701,0.00013849615725247598,8.625413536519021e-05,0.00014717297316347615,0.0001331653356538833,0.00023636756383897667,0.0001837228468499298,0.00018644238214451844,0.3771162643403466,0.00013656462512583685,0.000151834432104398,0.0001721384793969663
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,0.4383892871666753,0.0001302290338896007,0.00015622764574627627,0.0011311683094375,0.00018825892057324173,0.00015511234872758097,0.439420740124688,6.37142027758699e-05,0.000140622293566635,0.00014335231350171045,8.927850489850805e-05,0.1184915542272987,0.00013783457478474338,0.0002446554314955535,0.00019016480790182377,0.00019297969954837067,0.0002581348124526696,0.00014135305515079578,0.0001571582745917285,0.00017817425229522377
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,3.836653904288629e-05,5.211322044311454e-05,6.251697873291705e-05,0.1916278459882489,7.533480311719927e-05,6.207067488147263e-05,0.3196610707788994,0.0052871987564572,0.2333250832698222,5.736470963055847e-05,3.572621455943366e-05,6.095862180203453e-05,5.515669867081676e-05,9.790276448600152e-05,7.60974742630079e-05,0.1579282990250237,0.00010329675329383072,0.0842438047423552,6.288938467593347e-05,0.007086902601594
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,0.00013744218083078596,0.00018668753675724637,0.0002239573886609706,0.5670985823905585,0.000269875258263765,0.00022235857427254903,0.4225822864104663,9.13363726767898e-05,0.0002015866110268812,0.00020550018299893052,0.00012798362751428782,0.0002183748164395396,0.000197590325889694,0.000350721482729462,0.0002726074094598758,0.0002766426477783745,0.0066531225672567,0.00020263418141905232,0.00022529147524369067,0.0002554185597564788
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.0003761323154362832,0.0005109000383954236,0.00061289489621694,0.0044376735007743,0.0007385564253719821,0.0006085194871959626,0.485872500911415,0.0002499564626435051,0.0005516737169635363,0.0005623838270518343,0.0003502474848980363,0.0005976173023731527,0.0005407372491869923,0.4996043310187507,0.0007460333902258822,0.0007570764595580168,0.0010126857403016,0.0005545405594045402,0.0006165458356324661,0.0006989933782037736
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.00014665673800670758,0.00019920365787147345,0.0270562334500532,0.3771719388483558,0.0002879685465294665,0.00023726619421721076,0.336940175027661,9.74598510964734e-05,0.0002151016130588585,0.00021927756323591424,0.0269538253053415,0.067276168482422,0.00021083740436526885,0.00037423495680197726,0.0740383523124532,0.00029518964317559244,0.0406207454471863,0.00021621941587324616,0.0471706029169242,0.000272542625370406
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.00022988139541799905,0.000312247602573634,0.1159722113535213,0.0027121800890311,0.0004513847247145169,0.0003719098389442956,0.5806911128842257,0.00015276629544469354,0.00033716731763372025,0.00034371303293425905,0.00021406132168307247,0.0003652467330176872,0.0003304832589388438,0.0005866055338002841,0.0004559544334142658,0.0004627036439542436,0.0006189247813776272,0.2945874255308714,0.0003768153152965584,0.0004272049132046586
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.1521280457635918,0.0006437230658943355,0.0007722343942327118,0.2439050015668881,0.0009305652197043796,0.0007667214729215856,0.568859156056053,0.0003149397697802587,0.0223599723289211,0.0007085915328880885,0.0004413043019304722,0.0007529849544019802,0.0006813173101007109,0.0012093335851936,0.0009399860346928716,0.000953900064665724,0.0012759622637372,0.0006987091842540916,0.0007768344994144186,0.0008807166307333799
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.00026305424643105875,0.00035730624327192,0.0124539880596042,0.0031035590688325,0.0005165214366058753,0.0004255779909718093,0.5201830790981459,0.00017481111359706804,0.0003858219778944986,0.00039331226740924833,0.000244951269601386,0.00041795337087052953,0.0003781733814524743,0.4576345572755513,0.0005217505734668036,0.0005294737234388583,0.0007082382272247678,0.00038782695073784535,0.00043119134816795593,0.000488852376723908
