idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
uj0002,4.6134393577940505e-05,6.266428722823247e-05,0.1666864226896249,0.2831507225695269,9.058741142224408e-05,0.0380366943350309,0.3717270073924771,3.0658333122931844e-05,6.766537024472325e-05,6.897901550677283e-05,0.1265831480453252,7.330056659633274e-05,6.632396114997342e-05,0.0001177245793298,9.150449624899753e-05,9.285898052479348e-05,0.0127782295130832,6.801700192344729e-05,7.562224002719814e-05,8.573481802812517e-05
uj0003,8.24979976726756e-05,0.0001120569237174,0.0001344276991011,0.0613147837056052,0.0001619893419442,0.4526944044894804,0.3781041361157974,5.482354699971875e-05,0.000120999911867,0.0001233489858521,7.682061606555431e-05,0.0001310768280123,0.0001186011903104,0.000210516305046,0.0001636292824752,0.1057636032257024,0.0002221147782786,0.0001216287032559,0.0001352284683492,0.0001533118844664
uj0006,4.32177122665742e-05,5.870256276901968e-05,7.042180155042439e-05,0.1605390785427674,8.486034774048265e-05,6.991906578336371e-05,0.3245178747206749,2.872007014118853e-05,6.338747027653478e-05,0.0059916250490689,0.2726825648032502,6.866640158139879e-05,6.213086695323058e-05,0.0001102818656884,8.571945317338949e-05,0.2351915986716982,0.0001163578856287,6.371687130549237e-05,7.084129554944408e-05,8.031454213236498e-05
uj0007,6.374613949274924e-05,0.0088289235066394,0.0001038721799357,0.268850428910827,0.0001251690402097,0.0001031306445176,0.5864861284781344,4.236211269511679e-05,9.349653904437878e-05,9.53116667099702e-05,5.935923108174678e-05,0.0001012829644168,0.1341408135664281,0.0001626657873589,0.0001264362209995,0.0001283077779203,0.0001716279187251,9.398240566803222e-05,0.0001044909337191,0.0001184639754757
uj0008,9.262869556453306e-05,0.0001258174375832,0.0001509353289383,0.0180306862550165,0.0001818815227393,0.0001498578133579,0.5346310070775785,6.15558412090624e-05,0.0678872067567701,0.0001384961572524,8.625413536519021e-05,0.0001471729731634,0.0001331653356538,0.0002363675638389,0.0001837228468499,0.0001864423821445,0.3771162643403466,0.0001365646251258,0.0001518344321043,0.0001721384793969
uj0009,0.0001300861102842,0.0001766957956319,0.0002119709203114,0.001534778216962,0.0180958314477947,0.0002104576763888,0.5129543765455835,8.64479403424322e-05,0.0001907974535572,0.0001945015664582,0.0001211337900982,0.0002066871340583,0.4521438210684263,0.0003319504478582,0.0002580171335825,0.0121554365593649,0.0003502393798398,0.0001917889567241,0.0002132336049784,0.0002417482517541
uj0013,6.449795667469083e-05,0.0059845699420494,0.0001050972406252,0.0037094391687588,0.0001266452744699,0.0001043469595941,0.5698152520300982,0.0324761552075492,9.459923020442356e-05,9.643576534938968e-05,6.0059309395339e-05,0.0001024774880929,9.272387997292988e-05,0.0001645842554391,0.0001279274002948,0.067944889214163,0.318609624427515,9.509082710254852e-05,0.0001057232919443,0.000119861130706
uj0014,7.921191114315537e-05,0.0001075934366274,0.000129073132158,0.0009345556991505,0.0001555369308614,0.0616871895696779,0.5332360058316566,5.2639798007275456e-05,0.0001161802048235,0.0001184357097451,7.376067280918514e-05,0.0001258557340341,0.0399461956585168,0.003823250827835,0.0001571115487587,0.0363706359268015,0.3188718164605267,0.0037379038253214,0.0001298420049103,0.0001472051166348
uj0015,0.0001693664611922,0.0002300502455515,0.0002759769245953,0.2033025701426654,0.0003325603332192,0.0002740067467835,0.3891151941161198,0.0001125514607298,0.0002484099912194,0.0002532325852114,0.4027664221609078,0.0002690976645619,0.0002434854719233,0.0004321850543619,0.000335927092803,0.0003408996131016,0.0004559964488447,0.0002497008852455,0.0002776208851471,0.000314745715815
uj0016,0.0001031071702447,0.0001400503362115,0.0001680096492987,0.0012164760600378,0.0002024565823275,0.240554074249651,0.6092507214523261,6.851924838645928e-05,0.0001512274099302,0.0001541633159901,9.60114980051098e-05,0.0001638216829774,0.0001482294536296,0.0002631062706491,0.0096314577330483,0.0002075333817392,0.1322549236236285,0.0048654890472129,0.0001690104620883,0.000191611372617
