,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,0.00031975104149834725,0.00034981995552341416,0.0002376054705472861,0.0004087755188514726,0.0001410121728082289,0.00031291689924125844,0.00019566610082227817,0.000264931119582353,0.00015484295061906465,0.00016847395221980326,0.0001874619729506232,0.00015956408058360997,0.00039914384647781446,0.25530079522363,0.0405942951646869,0.00018723587002301788,0.00023692691745794397,0.0002769206246554142,0.00021200177095766592,0.0002835995383087172,0.00021220492590679908,0.0003628918817169932,5.002651100446623e-05,0.0003705219800680777,0.0002779859607664944,0.0003462998250328629,0.3840307225888622,0.00013735771869871933,0.00022501685863255487,0.000162145468300278,0.000350487498785838,0.00017622761911639383,0.0001474478444978617,0.0135819460055865,0.0001877712531248012,0.0002506821932036803,0.0002046580483998351,0.0004981678392649399,0.0136504684071901,0.00014609671903368656,0.00019784182720072695,0.2190898641425841,0.0605789601940909,0.0002693796873835964,0.00020019478861335257,0.0002531594818784892,0.00010134247485954884,0.0001191942438237805,7.80206661707435e-05,0.00021520894847108077,0.0001853421138873389,0.00021485499921827613,0.0009841442718122153,0.00021919324160010476,0.00016679966841584644,0.0001448346591062173,0.0002295420752468783,0.00022882088220267291,0.0003117238689655189,0.0004507104258300935
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,0.0002520723392742811,0.0002757768484518533,0.0001873137504245793,0.0003222538409635838,0.0001111654495302188,0.0002466847157731814,0.00015425129350580684,0.0002088556357681894,0.00012206879639790433,0.00013281465181106777,0.00014778365638843383,0.00012579064908868596,0.00031466081429203807,0.0001860871428687999,0.0002529893549815346,0.00014760541054563322,0.000186778820299721,0.00021830743481892996,0.00016712934564707402,0.0002235726854980516,0.0001672895006946485,0.0002860819627026016,3.943786889804875e-05,0.00029209706974099613,0.000219147281233112,0.0002730017909472835,0.0699198665465792,0.00010828449942654466,0.0001773896518549776,0.00012782565869261172,0.00027630309909653446,0.00013892717280058028,0.00011623894298939616,0.00012415218457410889,0.0001480274741306087,0.00019762264591587133,0.00016133999992529226,0.0321418176405151,0.0001781710924843699,0.00011517379757247516,0.00015596650430001215,0.2573814148335072,0.2382513340741734,0.00021236261697089311,0.00015782143645198677,0.0001995755901452023,7.989226426280002e-05,9.39655168217636e-05,6.150676395372659e-05,0.0001696576899942449,0.00014611248799908358,0.00016937865785811567,0.0325249320022708,0.349412814104782,0.0001314947479474407,0.00011417886602594836,0.00018095705833581384,0.00018038851345518012,0.0002457442030198171,0.0109383435506204
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,0.0107216357095426,0.0002728888572782428,0.0001853521627824008,0.000318879133283844,0.00011000130236247796,0.0002441013833222634,0.00015263594262822749,0.00020666845712704013,0.0001207904671670445,0.0001314237897995908,0.0001462360359204735,0.00012447334386045435,0.0003113656223299211,0.0001841384005100978,0.00025033999906820943,0.00014605965670434453,0.0001848228345544667,0.0002160212750182435,0.0001653791331916426,0.00022123138692275985,0.0001655376110630277,0.00028308605427935146,3.902486752420987e-05,0.0002890381698950333,0.3772161647546399,0.0002701428607395389,0.048243245255756,0.00010715052215347676,0.00017553199138883277,0.0001264870424304505,0.0002734095969192792,0.00013747229922770753,0.00011502166516760758,0.00012285203767908377,0.0001464773003537273,0.00019555310142613429,0.00015965041467420869,0.0003886126284201695,0.00017630524861322552,0.00011396767416984812,0.0001543331913865971,0.4117691112223878,0.1415064896023589,0.0002101387125102406,0.0001561686983122968,0.00019748559402680776,7.905561624348304e-05,9.298149084304776e-05,6.086265262816433e-05,0.00016788100020324504,0.00014458236834594926,0.00016760489014832318,0.0007677149387602286,0.0001709890824663455,0.00013011770823732652,0.00011298316174857004,0.0001790620392643794,0.00017849944830122022,0.0002431707198094921,0.00035159187212214994
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,0.00010901388030658684,0.00011926538403623032,8.100769337624183e-05,0.00013936531770317222,4.807579064091167e-05,0.00010668389144237132,6.670915220523728e-05,0.0138208734942019,5.27911677973149e-05,0.0137879880028887,6.391208918511526e-05,5.440075973001059e-05,0.0367508804057318,0.2701146187327625,0.00010941046265607273,6.383500309535168e-05,8.07763518146426e-05,9.441155121543716e-05,7.227853137136033e-05,9.66886174297249e-05,7.23477937237352e-05,0.00012372204316317404,1.7055719528673434e-05,0.00012632340022044857,9.477476011307005e-05,0.0001180652532026846,0.1034678855826919,4.682986436960648e-05,7.671581233633074e-05,5.528084159073284e-05,0.00011949297197767483,6.008192025597712e-05,5.026992749181462e-05,5.369217196908082e-05,6.401753319471423e-05,8.546598777861975e-05,0.0183771742339324,0.00016984216516617616,7.705376244813013e-05,4.980928339526824e-05,0.0046443007865977,0.3309986925876376,0.1076135515046325,9.184059216774418e-05,6.825313413095256e-05,8.63105787760876e-05,3.455105688645348e-05,4.063732511566158e-05,2.65998682084717e-05,7.337196601329625e-05,6.318935795925652e-05,7.325129281298692e-05,0.0964493748484304,7.473034549577878e-05,5.686761488768269e-05,4.9379004734632245e-05,7.825861082118815e-05,7.801273186539013e-05,0.00010627714731083647,0.00015366233737389268
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,0.00031139054157235775,0.0003406732465758585,0.0002313928230149541,0.0396184439613355,0.00013732514100122563,0.00030473509097978034,0.00019055003798233348,0.0002580039909159964,0.00015079428678633908,0.00016406887989082978,0.0001825604226581353,0.00015539197381686236,0.0003887074704669666,0.0002298775675442804,0.0003125233513782021,0.0001823402316221712,0.00023073201198839507,0.00026968000754565405,0.00020645858091176148,0.0002761842882819149,0.0002066564239878536,0.00035340338236443424,4.871847260186882e-05,0.00036083397726308086,0.00027071748841524354,0.0003372451566008528,0.2040346291374787,0.0001337662395540903,0.0002191333643329637,0.00015790586623558536,0.0003413233356483916,0.00017161981240003155,0.00014359253979819567,0.00015336794232649685,0.00018286161611315448,0.196345910914414,0.00019930687396586903,0.0004851422923776237,0.0002200986952435018,0.000142276742082416,0.00019266887585108188,0.4879038389999108,0.0589950079109462,0.0002623362424400549,0.00019496031460650536,0.0002465401450982535,9.869268285389175e-05,0.00011607768332096744,7.598066726819255e-05,0.00020958190066121756,0.00018049599134720064,0.00020923720608570192,0.000958411945583994,0.0002134620168585442,0.000162438373425497,0.0001410476811152652,0.00022354026054091143,0.00022283792446231424,0.0003035732547526521,0.0004389257433967301
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.0011623965272439,0.0012717065738256,0.0008637713032117056,0.0014860287594645,0.0005126240064874183,0.1475440748930764,0.0007113083823883473,0.0009631087108217218,0.0005629032738232251,0.0006124562912248496,0.0006814837735226833,0.0005800660797666833,0.0014510145732207,0.0008581149730993496,0.0011666252176135,0.0006806618176140596,0.0008613045473540674,0.0010066943673218,0.0007706937283956578,0.0010309743383892,0.0007714322611186733,0.0013192271746674,0.0001818622462939588,0.0013469650040245,0.0010105672022313,0.2940719550664672,0.1272170412993448,0.0004993389058479942,0.0008180077031810833,0.0005894502434687446,0.0012741333054678,0.0006406433314664362,0.0005360197158100728,0.0005725105285814958,0.0006826081051236851,0.0009113093407183114,0.0007439969659448945,0.0018109982179656,0.0008216112079387574,0.0005311079458903611,0.0007192178383660068,0.3572416290107522,0.0250150516691856,0.0009792806667882862,0.0007277715999486383,0.0009203150713613918,0.0003684120629819895,0.0004333089094533754,0.00028362988587982363,0.0007823528366393053,0.000673777412968355,0.0007810661187591924,0.003577676802868,0.0007968370068080625,0.0006063697381671319,0.0005265199574666499,0.0008344583019121067,0.0008318365362842968,0.0011332152072018,0.0016384754567882
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.0004003728912530012,0.00043802336453571656,0.0002975151817325307,0.0005118439508096355,0.00017656690362770951,0.00039181559216842855,0.00024500124265215776,0.0003317307047164991,0.00019388496606295195,0.0002109528808256009,0.000234728530542162,0.00019979647911081783,0.000499783753920916,0.00029556692983407154,0.0004018294105644596,0.00023444541814815096,0.00029666553864465985,0.0003467432369299988,0.3364513808328501,0.0003551061681569668,0.0002657101578944292,0.0004543912389290081,6.264016766388468e-05,0.00046394518603439774,0.0003480771862955761,0.0004336156703012096,0.228720571590714,0.0001719910174916723,0.00028175248421153146,0.0002030287364905728,0.00043885922178503375,0.0002206615529808304,0.0001846252619975812,0.00019719406435636568,0.0002351157924474324,0.00031388906196610366,0.0002562604148905084,0.0006237756011712483,0.0002829936661874401,0.00018293346451037844,0.0002477255554695078,0.2911403568801773,0.1262811942807953,0.0003373009319288098,0.00025067179126397204,0.00031699097282948603,0.00012689491010293356,0.00014924781416447347,9.769275354315698e-05,0.0002694716130372013,0.00023207417139374813,0.0002690284192166648,0.001232285861116,0.0002744605036196736,0.00020885644403456784,0.0001813531894947675,0.0002874186864260195,0.000286515652168783,0.0003903217519025394,0.0005643523019092296
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.0006188097900314316,0.0006770017455200926,0.0004598345970999616,0.0007910976358517248,0.00027289891735282146,0.0006055837685763118,0.0003786699120625968,0.0005127175496077169,0.156180705011191,0.00032604532110473445,0.0003627925763020624,0.0003088021691495022,0.0007724575928630743,0.00045682341084196887,0.1824822738056502,0.000362355002418014,0.00045852140264475866,0.0005359206737698005,0.0004102841096556146,0.0005488462834443506,0.00041067727263274784,0.0007022996643798716,9.681561825605142e-05,0.0007170660887093391,0.0005379824040838638,0.0006701892854275973,0.1196852138759159,0.0002658265026091879,0.000435472029712414,0.000313797893271168,0.0006782936328087835,0.00034105088593970514,0.0002853537842027032,0.00030477991948435284,0.0003633911219666741,0.0004851417984882153,0.0003960719044575782,0.00096409736328425,0.0004373903802668162,0.00028273896968677715,0.0003828805653793295,0.294100732529785,0.1951781477343757,0.0005213268016499566,0.0003874342192185037,0.0004899360611668363,0.00019612669686777925,0.00023067497965891727,0.00015099232147920856,0.00041649091615847953,0.0003586900422314925,0.0004158059230407608,0.0278847741282468,0.0004242016638171631,0.0003228051027013022,0.0002802965224782717,0.0004442296191477269,0.0004428339041747105,0.0006032749135027768,0.0008722536841974253
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.0010139479358203,0.0011092980968868,0.0007534598644998591,0.0012962493933126,0.0004471572660856498,0.0009922764991857113,0.0006204678430727881,0.0008401109831458621,0.0004910154144324746,0.0005342400615562703,0.0005944521075752905,0.0005059863742137421,0.001265706836591,0.0007485258991039543,0.001017636584032,0.0005937351228997939,0.0007513081357640936,0.0008781303555406202,0.0006722691411589539,0.0008993095538336261,0.0006729133565471508,0.0011507498855005,0.00015863678608075025,0.0011749453421812,0.0008815085942657322,0.0010981355717298,0.0258308830998265,0.00043556879343041257,0.0007135406917397897,0.0005141720950001463,0.0011114149128629,0.0005588273608125791,0.00046756513088803584,0.0004993957355214794,0.0005954328518215902,0.0007949268629578268,0.0006489817976874296,0.0015797173011471,0.0007166839962190498,0.0004632806385873541,0.0006273671897019667,0.2690489357002587,0.4475173367186226,0.0008542176334894878,0.0006348285582598823,0.0008027824800231631,0.0003213624972517629,0.0003779714271467333,0.00024740777401208104,0.0006824392754118334,0.0005877299192397188,0.0006813168830887791,0.0456904684179532,0.0006950736855296119,0.0005289308165916744,0.0004592785779456045,0.0007278903996366965,0.0007256034572859434,0.0009884933353223855,0.1717080009797089
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.0009343941876037718,0.0010222632320982,0.353761650692841,0.0011945464416931,0.00041207357460341145,0.000914423078917597,0.0005717863074431154,0.0007741963781981616,0.0004524906388791848,0.0004923239060587499,0.0005478117509828446,0.0004662869861158394,0.0011664002356927,0.0006897970050383078,0.0009377934266843704,0.0005471510204958863,0.0006923609490752065,0.0008092327733886747,0.0006195233066835001,0.0008287502644589456,0.0006201169773178894,0.0010604627381853,0.00014619023878585546,0.0010827598338154,0.000812345957525224,0.0010119765119845,0.1022636089907301,0.0004013943265772308,0.0006575567161059761,0.00047383046014833546,0.0010242139639597,0.0005149821005304242,0.0004308802505471085,0.0004602134449910039,0.0005487155466225359,0.0007325573770382709,0.000598063074243734,0.0014557736271288,0.0398901541586168,0.00042693191694815377,0.000578144335464892,0.2871692179855403,0.1770271897510972,0.0007871962291983796,0.0005850202895112362,0.0007397966470900936,0.0002961485880465327,0.0003483160151812764,0.0002279963081317869,0.0006288954982895244,0.0005416169815209843,0.0006278611681964072,0.0028759208509087,0.0006405386201509082,0.0004874312212765973,0.0004232438555892011,0.0006707805545093098,0.0006686730442867067,0.0009109367398268388,0.0013170909474277
