,Number,Score,Rank
0,0,"0,02382",15.0
1,1,"0,02606",12.0
2,2,"0,0177",25.0
3,3,"0,03045",7.0
4,4,"0,0105",55.0
5,5,"0,02331",16.0
6,6,"0,01458",40.0
7,7,"0,01973",22.0
8,8,"0,01153",51.0
9,9,"0,01255",46.0
10,10,"0,01396",42.0
11,11,"0,01189",49.0
12,12,"0,02973",8.0
13,13,"0,01758",27.0
14,14,"0,02391",14.0
15,15,"0,01395",43.0
16,16,"0,01765",26.0
17,17,"0,02063",20.0
18,18,"0,01579",36.0
19,19,"0,02113",18.0
20,20,"0,01581",35.0
21,21,"0,02703",10.0
22,22,"0,00373",60.0
23,23,"0,0276",9.0
24,24,"0,02071",19.0
25,25,"0,0258",13.0
26,26,"0,60679",2.0
27,27,"0,01023",56.0
28,28,"0,01676",31.0
29,29,"0,01208",48.0
30,30,"0,02611",11.0
31,31,"0,01313",45.0
32,32,"0,01098",52.0
33,33,"0,01173",50.0
34,34,"0,01399",41.0
35,35,"0,01867",24.0
36,36,"0,01525",37.0
37,37,"0,03711",5.0
38,38,"0,01684",30.0
39,39,"0,01088",53.0
40,40,"0,01474",39.0
41,41,"1,3202",1.0
42,42,"0,51258",3.0
43,43,"0,02007",21.0
44,44,"0,01491",38.0
45,45,"0,01886",23.0
46,46,"0,00755",58.0
47,47,"0,00888",57.0
48,48,"0,00581",59.0
49,49,"0,01603",33.0
50,50,"0,01381",44.0
51,51,"0,016",34.0
52,52,"0,07331",4.0
53,53,"0,01633",32.0
54,54,"0,01243",47.0
55,55,"0,01079",54.0
56,56,"0,0171",28.0
57,57,"0,01705",29.0
58,58,"0,02322",17.0
59,59,"0,03357",6.0
